Filename,Frame,Time (mins),Period,Period time (mins),Length (mm),Precision (mm),RMS (mm),Range (mm),Direction (deg),Horz. Dir. (deg),Vert. Dir. (deg),Mid X (mm),Mid Y (mm),Mid Z (mm),OpCode,TapeReader,Family,Genus,Species,Code,Number,Stage,Activity,Comment,,
GX010036_L.MP4,25189,14.0079,KAD_CAT_Transect 1,0.2213,,7.625,0.908,3589.353,6.805,,,-415.005,-95.001,-3564.015,KAD_CAT_1,Peter,Pomacentridae,Chromis,margaritifer,37372047,1,AD,Passing,,,
GX010036_L.MP4,25189,14.0079,KAD_CAT_Transect 1,0.2213,,6.77,4.375,3371.473,4.701,,,-274.81,-30.454,-3360.116,KAD_CAT_1,Peter,Pomacentridae,Chromis,margaritifer,37372047,1,AD,Passing,,,
GX010036_L.MP4,25189,14.0079,KAD_CAT_Transect 1,0.2213,,11.233,1.571,4417.69,7.106,,,-544.37,-50.311,-4383.733,KAD_CAT_1,Peter,Pomacentridae,Chromis,margaritifer,37372047,1,AD,Passing,,,
GX010036_L.MP4,25189,14.0079,KAD_CAT_Transect 1,0.2213,,7.93,1.677,3684.522,12.078,,,-768.766,56.155,-3602.992,KAD_CAT_1,Peter,Pomacentridae,Chromis,margaritifer,37372047,1,AD,Passing,,,
GX010036_L.MP4,25189,14.0079,KAD_CAT_Transect 1,0.2213,,6.817,3.439,3392.548,11.389,,,-669.373,25.184,-3325.761,KAD_CAT_1,Peter,Pomacentridae,Chromis,margaritifer,37372047,1,AD,Passing,,,
GX010036_L.MP4,25189,14.0079,KAD_CAT_Transect 1,0.2213,,12.028,2.762,4587.266,10.596,,,-843.089,-30.41,-4509.023,KAD_CAT_1,Peter,Pomacentridae,Chromis,margaritifer,37372047,1,AD,Passing,,,
GX010036_L.MP4,25189,14.0079,KAD_CAT_Transect 1,0.2213,,9.073,2.638,3947.525,10.345,,,-706.427,-61.276,-3883.318,KAD_CAT_1,Peter,Pomacentridae,Chromis,margaritifer,37372047,1,AD,Passing,,,
GX010036_L.MP4,25189,14.0079,KAD_CAT_Transect 1,0.2213,,9.039,0.513,3934.646,8.233,,,-563.38,4.841,-3894.101,KAD_CAT_1,Peter,Pomacentridae,Chromis,margaritifer,37372047,1,AD,Passing,,,
GX010036_L.MP4,25189,14.0079,KAD_CAT_Transect 1,0.2213,,6.749,2.966,3361.496,8.053,,,-466.919,59.167,-3328.384,KAD_CAT_1,Peter,Pomacentridae,Chromis,margaritifer,37372047,1,AD,Passing,,,
GX010036_L.MP4,25189,14.0079,KAD_CAT_Transect 1,0.2213,,6.362,2.698,3322.994,16.499,,,-941.16,-71.301,-3186.13,KAD_CAT_1,Peter,Pomacentridae,Chromis,margaritifer,37372047,1,AD,Passing,,,
GX010036_L.MP4,25189,14.0079,KAD_CAT_Transect 1,0.2213,,3.406,0.982,2368.286,17.563,,,-714.39,17.263,-2257.903,KAD_CAT_1,Peter,Pomacentridae,Chromis,margaritifer,37372047,1,AD,Passing,,,
GX010036_L.MP4,25189,14.0079,KAD_CAT_Transect 1,0.2213,,3.28,0.671,2464.196,27.271,,,-1111.655,196.339,-2190.419,KAD_CAT_1,Peter,Pomacentridae,Chromis,margaritifer,37372047,1,AD,Passing,,,
GX010036_L.MP4,25189,14.0079,KAD_CAT_Transect 1,0.2213,,3.508,0.409,2496.477,23.534,,,-990.932,106.812,-2288.895,KAD_CAT_1,Peter,Pomacentridae,Chromis,margaritifer,37372047,1,AD,Passing,,,
GX010036_L.MP4,25189,14.0079,KAD_CAT_Transect 1,0.2213,,4.334,4.766,2727.074,19.169,,,-885.958,128.628,-2575.94,KAD_CAT_1,Peter,Pomacentridae,Chromis,margaritifer,37372047,1,AD,Passing,,,
GX010036_L.MP4,25189,14.0079,KAD_CAT_Transect 1,0.2213,,4.309,11.8,2739.171,20.406,,,-946.615,125.308,-2567.348,KAD_CAT_1,Peter,Pomacentridae,Chromis,margaritifer,37372047,1,AD,Passing,,,
GX010036_L.MP4,25189,14.0079,KAD_CAT_Transect 1,0.2213,,4.762,0.127,2860.588,18.483,,,-896.014,138.31,-2713.115,KAD_CAT_1,Peter,Pomacentridae,Chromis,margaritifer,37372047,1,AD,Passing,,,
