"x"
"Scarus forsteni"
"Scarus frenatus"
"Scarus globiceps"
"Scarus niger"
"Scarus oviceps"
"Scarus psittacus"
"Scarus rubroviolaceus"
"Scarus schlegeli"
"Scarus sp"
"Scarus spinus"
"Scarus tricolor"
"Scolopsis bilineata"
"Scolopsis trilineata"
"Siganus doliatus"
"Siganus punctatissimus"
"Siganus punctatus"
"Siganus sp"
"Siganus uspi"
"Stegastes albifasciatus"
"Stegastes fasciolatus"
"Stegastes lacrymatus"
"Stegastes nigricans"
"Stegastes sp"
"Stethojulis bandanensis"
"Stethojulis sp"
"Stethojulis trilineata"
"Sufflamen bursa"
"Sufflamen chrysopterum"
"Synodus variegatus"
"Taeniamia kagoshimana"
"Thalassoma amblycephalum"
"Thalassoma hardwicke"
"Thalassoma lunare"
"Thalassoma lutescens"
"Thalassoma nigrofasciatum"
"Thalassoma quinquevittatum"
"Thalassoma sp"
"Triaenodon obesus"
"Zanclus cornutus"
"Zebrasoma scopas"
"Zebrasoma velifer"
