FRic,FEve,FDiv,FDis,RaoQ,Site
0.10633668394712256,0.633369645023706,0.8963162898165511,0.19396269307930922,0.041608539055609586,KAD_BIRD_1
0.18682238008676583,0.625644843382703,0.8113433240249016,0.19692120419296794,0.0484075756046023,KAD_CAT_1
0.13018619594411196,0.6819530027610795,0.8382328208994029,0.19956186969364684,0.04512768348831355,KAD_COW_
0.1932272696865224,0.6407154000946808,0.9353701809209227,0.14909683072115457,0.033178425836966355,KAD_FIGO
0.11574219447660114,0.6279823203579027,0.8306694867427473,0.10537748288236724,0.020715115760594392,KAD_LUPE
0.07953687447072495,0.6098561233383393,0.8472826435068102,0.1700562902153908,0.032063410479998077,KAD_MaiDive
0.08797635044140797,0.5701957040243113,0.8681595391072237,0.18138164960075734,0.03616961759942153,KAD_OnoBack
0.15298426010310504,0.6496565275254053,0.8325390035899475,0.21289680443505396,0.04964044921058841,KAD_ROB
0.10429523873571232,0.5794438065257755,0.8820708629144092,0.2014031838654618,0.04464998450142518,KAD_SO1
0.06011832141663009,0.6420349432521832,0.9489696559473024,0.11296131339640994,0.019521883074186674,KAD_SO2
0.15672249974712238,0.6205955922733957,0.8658996603297847,0.20795723657203857,0.04819378905280099,KAD_VURRO
0.13671557940912266,0.5851256446890182,0.9408072676104607,0.16035989982962134,0.0321583946317927,KUA_GOAT
0.10542170996895008,0.6151231698761178,0.8777852080950267,0.21368573089309145,0.04900440355807938,KUA_MPA
0.09738398369029512,0.6677717690226402,0.9219442618284184,0.16810440340018118,0.034014455908106436,KUA_noMPA
0.16497543155113226,0.6044061346071611,0.8770018884222296,0.2162248504574471,0.05560043801572766,Kua_Back
0.08810229770950719,0.6063080210741465,0.7917984601316146,0.18107018415879617,0.0374497345314916,Lau_Totoya_BT
0.1597789061456858,0.6079143053362411,0.8993230760827222,0.2122186191137976,0.050308192016691566,Lau_Totoya_Joe
0.1118682120783889,0.6975678120279114,0.8904537714452764,0.16007497947520297,0.03170183955656214,Lau_VanuaBalavu
0.2307777431548695,0.6118466320649539,0.9547904316660679,0.15769075580232966,0.03720781400500522,SAV_GNU_2009
0.1919664830496341,0.6060904066291052,0.9291915311436805,0.2055805036464583,0.05373954471173761,SAV_SLR_1909
0.08680092148698393,0.6656156278835673,0.8704419038207204,0.18281219083724393,0.03757080716668571,WAI_ALI
0.13418346315599652,0.6214619212979585,0.9007043150104067,0.16963022839787403,0.035491994552185935,WAI_MYS
0.24042364693462073,0.6212467904501319,0.9866069907708073,0.1046050253595029,0.02775219829810317,YA_COW
0.12534721429524537,0.6242956435739356,0.8975520461484476,0.17552098920880127,0.03447425969608583,YA_LIW
0.1452310498375561,0.6155900042413848,0.9763595940251205,0.12452031067716951,0.02980360296796974,YA_MAC
0.1767327018023509,0.656526979140014,0.968597811852559,0.16810691872890773,0.042161349806702664,YA_VAL
0.07194141956790465,0.6279507561466848,0.9185149990550094,0.2023651587279773,0.04464046951308914,YA_VUI
