Filename,Frame,Time (mins),Period,Period time (mins),Length (mm),Precision (mm),RMS (mm),Range (mm),Direction (deg),Horz. Dir. (deg),Vert. Dir. (deg),Mid X (mm),Mid Y (mm),Mid Z (mm),OpCode,TapeReader,Family,Genus,Species,Code,Number,Stage,Activity,Comment,
WAI_ALI_CAM1_left_1.MP4,16784,9.3338,WAI_ALI_Transect 1,0.9181,,11.498,10.671,4789.437,25.006,,,-1923.998,-612.948,-4342.952,WAI_ALI,Peter,Pomacentridae,Pomacentrus,coelestis,37372111,1,AD,Passing,,
WAI_ALI_CAM1_left_1.MP4,16784,9.3338,WAI_ALI_Transect 1,0.9181,,7.524,8.247,3733.138,22.544,,,-1336.549,-498.319,-3449.874,WAI_ALI,Peter,Pomacentridae,Pomacentrus,coelestis,37372111,1,AD,Passing,,
WAI_ALI_CAM1_left_1.MP4,16784,9.3338,WAI_ALI_Transect 1,0.9181,,10.508,6.519,4579.137,24.788,,,-1845.778,-511.78,-4159.289,WAI_ALI,Peter,Pomacentridae,Pomacentrus,coelestis,37372111,1,AD,Passing,,
WAI_ALI_CAM1_left_1.MP4,16784,9.3338,WAI_ALI_Transect 1,0.9181,,12.69,9.094,5056.62,24.474,,,-2036.872,-471.244,-4604.181,WAI_ALI,Peter,Pomacentridae,Pomacentrus,coelestis,37372111,1,AD,Passing,,
WAI_ALI_CAM1_left_1.MP4,16784,9.3338,WAI_ALI_Transect 1,0.9181,,15.954,14.286,5466.988,20.567,,,-1833.642,-550.988,-5120.755,WAI_ALI,Peter,Pomacentridae,Pomacentrus,coelestis,37372111,1,AD,Passing,,
WAI_ALI_CAM1_left_1.MP4,16784,9.3338,WAI_ALI_Transect 1,0.9181,,12.335,7.668,4735.342,18.802,,,-1462.062,-419.985,-4484.356,WAI_ALI,Peter,Pomacentridae,Pomacentrus,coelestis,37372111,1,AD,Passing,,
WAI_ALI_CAM1_left_1.MP4,16784,9.3338,WAI_ALI_Transect 1,0.9181,,9.699,5.126,4088.94,15.75,,,-1018.607,-425.161,-3937.144,WAI_ALI,Peter,Pomacentridae,Pomacentrus,coelestis,37372111,1,AD,Passing,,
WAI_ALI_CAM1_left_1.MP4,16784,9.3338,WAI_ALI_Transect 1,0.9181,,16.658,6.815,5453.946,15.714,,,-1417.001,-396.181,-5251.731,WAI_ALI,Peter,Pomacentridae,Pomacentrus,coelestis,37372111,1,AD,Passing,,
WAI_ALI_CAM1_left_1.MP4,16784,9.3338,WAI_ALI_Transect 1,0.9181,,14.007,11.186,5031.513,16.888,,,-1429.452,-286.228,-4815.689,WAI_ALI,Peter,Pomacentridae,Pomacentrus,coelestis,37372111,1,AD,Passing,,
WAI_ALI_CAM1_left_1.MP4,16784,9.3338,WAI_ALI_Transect 1,0.9181,,7.95,9.488,3632.262,12.405,,,-642.04,-429.322,-3549.196,WAI_ALI,Peter,Pomacentridae,Pomacentrus,coelestis,37372111,1,AD,Passing,,
WAI_ALI_CAM1_left_1.MP4,16784,9.3338,WAI_ALI_Transect 1,0.9181,,9.632,6.116,4025.057,10.083,,,-592.839,-365.25,-3964.369,WAI_ALI,Peter,Pomacentridae,Pomacentrus,coelestis,37372111,1,AD,Passing,,
WAI_ALI_CAM1_left_1.MP4,16784,9.3338,WAI_ALI_Transect 1,0.9181,,11.325,7.653,4387.455,9.66,,,-631.072,-361.993,-4326.716,WAI_ALI,Peter,Pomacentridae,Pomacentrus,coelestis,37372111,1,AD,Passing,,
WAI_ALI_CAM1_left_1.MP4,16784,9.3338,WAI_ALI_Transect 1,0.9181,,12.261,4.506,4583.652,9.66,,,-693.78,-314.127,-4519.941,WAI_ALI,Peter,Pomacentridae,Pomacentrus,coelestis,37372111,1,AD,Passing,,
WAI_ALI_CAM1_left_1.MP4,16784,9.3338,WAI_ALI_Transect 1,0.9181,,14.107,4.418,4945.229,10.359,,,-840.597,-270.637,-4865.742,WAI_ALI,Peter,Pomacentridae,Pomacentrus,coelestis,37372111,1,AD,Passing,,
WAI_ALI_CAM1_left_1.MP4,16784,9.3338,WAI_ALI_Transect 1,0.9181,,7.023,9.369,3385.671,13.971,,,-569.751,-573.106,-3287.811,WAI_ALI,Peter,Pomacentridae,Pomacentrus,coelestis,37372111,1,AD,Passing,,
WAI_ALI_CAM1_left_1.MP4,16784,9.3338,WAI_ALI_Transect 1,0.9181,,9.633,5.585,4000.445,8.268,,,262.008,-496.452,-3960.864,WAI_ALI,Peter,Pomacentridae,Pomacentrus,coelestis,37372111,1,AD,Passing,,
WAI_ALI_CAM1_left_1.MP4,16790,9.3371,WAI_ALI_Transect 1,0.9215,61.467,4.802,9.648,3421.767,14.804,5.192,17.162,520.26,-702.699,-3308.177,WAI_ALI,Peter,Pomacanthidae,Centropyge,bicolor,37365022,1,AD,Passing,,
WAI_ALI_CAM1_left_1.MP4,17396,9.6741,WAI_ALI_Transect 1,1.2585,,4.018,6.805,2713.241,24.348,,,-1044.454,-390.672,-2473.493,WAI_ALI,Peter,Pomacentridae,Pomacentrus,coelestis,37372111,1,AD,Passing,,
WAI_ALI_CAM1_left_1.MP4,17396,9.6741,WAI_ALI_Transect 1,1.2585,,6.553,10.121,3418.402,21.126,,,-1127.058,-485.044,-3190.603,WAI_ALI,Peter,Pomacentridae,Pomacentrus,coelestis,37372111,1,AD,Passing,,
WAI_ALI_CAM1_left_1.MP4,17396,9.6741,WAI_ALI_Transect 1,1.2585,,7.172,5.481,3532.827,19.259,,,-1046.245,-499.855,-3337.123,WAI_ALI,Peter,Pomacentridae,Pomacentrus,coelestis,37372111,1,AD,Passing,,
WAI_ALI_CAM1_left_1.MP4,17396,9.6741,WAI_ALI_Transect 1,1.2585,,3.852,1.992,2495.527,18.082,,,-621.057,-453.443,-2374.096,WAI_ALI,Peter,Pomacentridae,Pomacentrus,coelestis,37372111,1,AD,Passing,,
WAI_ALI_CAM1_left_1.MP4,17396,9.6741,WAI_ALI_Transect 1,1.2585,,4.991,5.619,2845.296,14.911,,,-603.626,-403.434,-2751.107,WAI_ALI,Peter,Pomacentridae,Pomacentrus,coelestis,37372111,1,AD,Passing,,
WAI_ALI_CAM1_left_1.MP4,17396,9.6741,WAI_ALI_Transect 1,1.2585,,4.578,6.21,2698.897,12.671,,,-443.073,-382.197,-2634.702,WAI_ALI,Peter,Pomacentridae,Pomacentrus,coelestis,37372111,1,AD,Passing,,
WAI_ALI_CAM1_left_1.MP4,17396,9.6741,WAI_ALI_Transect 1,1.2585,,5.926,5.272,3111.149,12.081,,,-553.71,-330.568,-3043.579,WAI_ALI,Peter,Pomacentridae,Pomacentrus,coelestis,37372111,1,AD,Passing,,
WAI_ALI_CAM1_left_1.MP4,17396,9.6741,WAI_ALI_Transect 1,1.2585,,5.6,4.935,2999.401,9.947,,,-265.846,-433.017,-2956.05,WAI_ALI,Peter,Pomacentridae,Pomacentrus,coelestis,37372111,1,AD,Passing,,
WAI_ALI_CAM1_left_1.MP4,17396,9.6741,WAI_ALI_Transect 1,1.2585,,5.163,5.156,2867.685,9.341,,,42.172,-452.332,-2831.472,WAI_ALI,Peter,Pomacentridae,Pomacentrus,coelestis,37372111,1,AD,Passing,,
WAI_ALI_CAM1_left_1.MP4,17477,9.7192,WAI_ALI_Transect 1,1.3035,,6.026,4.022,3116.238,9.908,,,-31.513,-523.105,-3071.857,WAI_ALI,Peter,Pomacentridae,Pomacentrus,coelestis,37372111,1,AD,Passing,,
WAI_ALI_CAM1_left_1.MP4,17477,9.7192,WAI_ALI_Transect 1,1.3035,,6.582,5.871,3267.507,10.079,,,-191.35,-526.093,-3219.195,WAI_ALI,Peter,Pomacentridae,Pomacentrus,coelestis,37372111,1,AD,Passing,,
WAI_ALI_CAM1_left_1.MP4,17477,9.7192,WAI_ALI_Transect 1,1.3035,,13.158,7.15,4735.03,8.061,,,-281.349,-582.831,-4690.592,WAI_ALI,Peter,Pomacentridae,Pomacentrus,coelestis,37372111,1,AD,Passing,,
WAI_ALI_CAM1_left_1.MP4,17477,9.7192,WAI_ALI_Transect 1,1.3035,,5.6,0.35,3015.12,6.712,,,-194.142,-282.26,-2995.595,WAI_ALI,Peter,Pomacentridae,Pomacentrus,coelestis,37372111,1,AD,Passing,,
WAI_ALI_CAM1_left_1.MP4,17477,9.7192,WAI_ALI_Transect 1,1.3035,,6.614,5.042,3300.823,7.5,,,-338.262,-253.91,-3273.613,WAI_ALI,Peter,Pomacentridae,Pomacentrus,coelestis,37372111,1,AD,Passing,,
WAI_ALI_CAM1_left_1.MP4,17477,9.7192,WAI_ALI_Transect 1,1.3035,,10.279,4.13,4180.345,7.503,,,-455.982,-283.595,-4145.713,WAI_ALI,Peter,Pomacentridae,Pomacentrus,coelestis,37372111,1,AD,Passing,,
WAI_ALI_CAM1_left_1.MP4,17477,9.7192,WAI_ALI_Transect 1,1.3035,,21.73,9.041,6205.199,5.129,,,439.262,-314.365,-6181.644,WAI_ALI,Peter,Pomacentridae,Pomacentrus,coelestis,37372111,1,AD,Passing,,
WAI_ALI_CAM1_left_1.MP4,17558,9.7642,WAI_ALI_Transect 1,1.3486,,3.241,0.425,2309.924,23.046,,,-614.034,-655.412,-2128.179,WAI_ALI,Peter,Pomacentridae,Pomacentrus,coelestis,37372111,1,AD,Passing,,
WAI_ALI_CAM1_left_1.MP4,17558,9.7642,WAI_ALI_Transect 1,1.3486,,1.635,6.631,1537.162,15.425,,,-219.14,-339.294,-1483.147,WAI_ALI,Peter,Pomacentridae,Pomacentrus,coelestis,37372111,1,AD,Passing,,
