"FRic","FEve","FDiv","FDis","RaoQ","Site"
0.106336683947123,0.633369645023706,0.896316289816551,0.193962693079309,0.0416085390556096,"KAD_BIRD_1"
0.186822380086766,0.625644843382703,0.811343324024902,0.196921204192968,0.0484075756046023,"KAD_CAT_1"
0.130186195944112,0.68195300276108,0.838232820899403,0.199561869693647,0.0451276834883136,"KAD_COW_"
0.193227269686522,0.640715400094681,0.935370180920923,0.149096830721155,0.0331784258369664,"KAD_FIGO"
0.115742194476601,0.627982320357903,0.830669486742747,0.105377482882367,0.0207151157605944,"KAD_LUPE"
0.079536874470725,0.609856123338339,0.84728264350681,0.170056290215391,0.0320634104799981,"KAD_MaiDive"
0.087976350441408,0.570195704024311,0.868159539107224,0.181381649600757,0.0361696175994215,"KAD_OnoBack"
0.152984260103105,0.649656527525405,0.832539003589947,0.212896804435054,0.0496404492105884,"KAD_ROB"
0.104295238735712,0.579443806525776,0.882070862914409,0.201403183865462,0.0446499845014252,"KAD_SO1"
0.0601183214166301,0.642034943252183,0.948969655947302,0.11296131339641,0.0195218830741867,"KAD_SO2"
0.156722499747122,0.620595592273396,0.865899660329785,0.207957236572039,0.048193789052801,"KAD_VURRO"
0.136715579409123,0.585125644689018,0.940807267610461,0.160359899829621,0.0321583946317927,"KUA_GOAT"
0.10542170996895,0.615123169876118,0.877785208095027,0.213685730893091,0.0490044035580794,"KUA_MPA"
0.0973839836902951,0.66777176902264,0.921944261828418,0.168104403400181,0.0340144559081064,"KUA_noMPA"
0.164975431551132,0.604406134607161,0.87700188842223,0.216224850457447,0.0556004380157277,"Kua_Back"
0.0881022977095072,0.606308021074146,0.791798460131615,0.181070184158796,0.0374497345314916,"Lau_Totoya_BT"
0.159778906145686,0.607914305336241,0.899323076082722,0.212218619113798,0.0503081920166916,"Lau_Totoya_Joe"
0.111868212078389,0.697567812027911,0.890453771445276,0.160074979475203,0.0317018395565621,"Lau_VanuaBalavu"
0.23077774315487,0.611846632064954,0.954790431666068,0.15769075580233,0.0372078140050052,"SAV_GNU_2009"
0.191966483049634,0.606090406629105,0.92919153114368,0.205580503646458,0.0537395447117376,"SAV_SLR_1909"
0.0868009214869839,0.665615627883567,0.87044190382072,0.182812190837244,0.0375708071666857,"WAI_ALI"
0.134183463155997,0.621461921297959,0.900704315010407,0.169630228397874,0.0354919945521859,"WAI_MYS"
0.240423646934621,0.621246790450132,0.986606990770807,0.104605025359503,0.0277521982981032,"YA_COW"
0.125347214295245,0.624295643573936,0.897552046148448,0.175520989208801,0.0344742596960858,"YA_LIW"
0.145231049837556,0.615590004241385,0.976359594025121,0.12452031067717,0.0298036029679697,"YA_MAC"
0.176732701802351,0.656526979140014,0.968597811852559,0.168106918728908,0.0421613498067027,"YA_VAL"
0.0719414195679046,0.627950756146685,0.918514999055009,0.202365158727977,0.0446404695130891,"YA_VUI"
