"term","estimate","robust.se","t.value","p.value"
"(Intercept)",0.422458733180851,0.0105832326796859,39.91774025641,2.79314148840741e-57
"sedimnt",-0.0112129930793544,0.0168824290643561,-0.664181264236934,0.508351164186204
"NO_TK_AREA",0.00153630894762549,0.0120578454786034,0.127411563728501,0.898912112333989
"grav_NC",-0.0193521941905804,0.01919777094586,-1.00804381118807,0.316261279782128
"Median_Depth",0.00262204381328586,0.0101683024928815,0.257864458214286,0.797127571301216
"resid15LR",0.00225427417359258,0.0183593802080963,0.122785962709049,0.902563079264246
"resid15BRIF",-0.0218538703539574,0.0126972428905769,-1.72115084686424,0.0888191712224643
"transi15LR",-0.0222744649908049,0.00869521147483015,-2.56169330156976,0.0121591155610123
