"Response","term","estimate","std.error","statistic","p.value"
"biomass_kg_ha","(Intercept)",373.973412743495,36.8256659813973,10.1552382768151,1.43568409166922e-17
"biomass_kg_ha","Geomorphology1",-308.343427168382,85.5849533688788,-3.60277613097941,0.000470994346373652
"biomass_kg_ha","Geomorphology2",63.8775452756702,120.068464770451,0.532009344816665,0.595773271140027
"biomass_kg_ha","Geomorphology3",-371.756154953812,168.19989455323,-2.2102044471625,0.0291243346664646
"biomass_kg_ha","Geomorphology4",468.705708452236,101.973457927652,4.5963500500765,1.13553532716587e-05
"biomass_kg_ha","Geomorphology5",82.3928227009914,72.7325227179836,1.132819536873,0.259709322854803
"biomass_kg_ha","nutrint",-116.217992598334,46.3253082707225,-2.50873651869001,0.0135478287821293
"biomass_kg_ha","NO_TK_AREA",110.035283287112,49.1312656661958,2.2396183325442,0.0270903921874194
"biomass_kg_ha","transi15LR",-12.3776188631622,65.0142979659373,-0.190383027278817,0.849353647604978
"biomass_kg_ha","transi15BRbtw",-130.761561707316,49.522056434591,-2.64047115813995,0.00946076767542202
"biomass_kg_ha","resid15LR",87.8712870815593,47.4642866683936,1.8513137613437,0.066758826326639
"biomass_kg_ha","resid15BRbtw",-3.63978643200039,44.0955038203978,-0.0825432553583091,0.93436206281883
"biomass_kg_ha","pare15BRbtw",-87.7640625736958,50.6288244082573,-1.7334801587726,0.0857623483553751
"abundance_ind_250m2","(Intercept)",225.769792429404,12.9676912613704,17.4101764052597,1.20800135344662e-33
"abundance_ind_250m2","Geomorphology1",-139.175828738527,30.1376559616613,-4.61800442992564,1.0404384252872e-05
"abundance_ind_250m2","Geomorphology2",182.058278157456,42.2805871903706,4.30595434584977,3.58024145470633e-05
"abundance_ind_250m2","Geomorphology3",-172.136183055345,59.2294597975003,-2.90625954793208,0.00440954698374837
"abundance_ind_250m2","Geomorphology4",187.143635928268,35.9086600070758,5.21165746344729,8.6257180405623e-07
"abundance_ind_250m2","Geomorphology5",-45.4190274261257,25.611835499292,-1.7733608911935,0.0788869923066936
"abundance_ind_250m2","nutrint",-38.0017223543703,16.3128698214447,-2.3295546872086,0.021622155398746
"abundance_ind_250m2","NO_TK_AREA",-0.225198304970468,17.3009521338036,-0.0130165266760355,0.989637765728283
"abundance_ind_250m2","transi15LR",-10.6034673627571,22.8939605334743,-0.463155658334138,0.644151517797339
"abundance_ind_250m2","transi15BRbtw",-91.0814428876197,17.4385641469822,-5.22298981268945,8.21178962927811e-07
"abundance_ind_250m2","resid15LR",-9.48070521740647,16.7139466199425,-0.567233187528218,0.571690935795276
"abundance_ind_250m2","resid15BRbtw",-25.5466501489174,15.5276724620908,-1.64523370848315,0.102725367325619
"abundance_ind_250m2","pare15BRbtw",-65.8954410152,17.8282984531514,-3.69611498194052,0.000340498696405194
"FRic","(Intercept)",9.68197115865066e-12,2.50878316755545e-12,3.8592299581174,0.000190593415348183
"FRic","Geomorphology1",-2.27138631760847e-11,5.83055552929649e-12,-3.8956602097271,0.000167046725174488
"FRic","Geomorphology2",1.52593242655924e-11,8.17977721088594e-12,1.86549387253295,0.0647290839010756
"FRic","Geomorphology3",-2.54514598077093e-11,1.14587761821581e-11,-2.22113246677586,0.0283536259156197
"FRic","Geomorphology4",3.76993867862134e-11,6.94703783267764e-12,5.42668511302502,3.3596844326861e-07
"FRic","Geomorphology5",-9.81673114169723e-12,4.95497159021911e-12,-1.98118817897463,0.0500208756765498
"FRic","nutrint",-8.37246114774802e-12,3.15595524274063e-12,-2.65290870870443,0.00913931908087053
"FRic","NO_TK_AREA",5.78024210986929e-12,3.3471137322082e-12,1.72693328411517,0.0869365937353427
"FRic","transi15LR",4.51369062418316e-12,4.42916026202412e-12,1.01908496355027,0.310358932654707
"FRic","transi15BRbtw",-1.7325838222923e-11,3.37373672124745e-12,-5.13550393953582,1.19854525149899e-06
"FRic","resid15LR",-9.71974897491372e-12,3.2335492184675e-12,-3.00590723017362,0.00326873390948577
"FRic","resid15BRbtw",7.84873849451106e-14,3.00404771512821e-12,0.0261272098142292,0.979202369855355
"FRic","pare15BRbtw",-1.21699735115068e-11,3.44913633151183e-12,-3.5284118520686,0.000607459512271371
"FEve","(Intercept)",0.670979628602496,0.00556002935496714,120.679152170854,2.01870295561285e-120
"FEve","Geomorphology1",0.0319820347201403,0.0129218261338394,2.4750398580574,0.0148202002508145
"FEve","Geomorphology2",-0.069613946491002,0.0181282312468368,-3.84008486780247,0.000204202807465041
"FEve","Geomorphology3",0.0302380406207683,0.0253952325448983,1.19069752825881,0.236289844146884
"FEve","Geomorphology4",-0.0152498022033461,0.0153962027405468,-0.99049112695722,0.324069183964037
"FEve","Geomorphology5",-0.0123828880442911,0.0109813346370188,-1.12763051610754,0.261885918469901
"FEve","nutrint",0.00620225462572781,0.00699430864314124,0.886757354039541,0.377109710589305
"FEve","NO_TK_AREA",-0.000663145680247963,0.00741795897156978,-0.089397323817717,0.928925817256433
"FEve","transi15LR",-0.0173117458035136,0.00981601813707311,-1.76362202695314,0.0805225653036914
"FEve","transi15BRbtw",0.00364649247449479,0.00747696152009192,0.487697103254579,0.626717712507017
"FEve","resid15LR",0.0180050385928007,0.00716627439466148,2.51246848797941,0.0134131056994961
"FEve","resid15BRbtw",0.00161394169481552,0.00665764729923221,0.242419224431077,0.808898699853597
"FEve","pare15BRbtw",0.00323245571994363,0.00764406406280847,0.422871353953045,0.673199936645399
