"term","estimate","robust.se","t.value","p.value"
"(Intercept)",373.973412743495,44.7976006635889,8.34806791443759,2.05190584427675e-13
"Geomorphology1",-308.343427168382,123.945560387468,-2.48773272882439,0.0143289013884396
"Geomorphology2",63.8775452756702,78.0219864040993,0.818712112055559,0.414689281339062
"Geomorphology3",-371.756154953812,135.702186071316,-2.73950011946338,0.00716179885537549
"Geomorphology4",468.705708452236,161.652215802157,2.89946974204099,0.00449925475934945
"Geomorphology5",82.3928227009914,67.6883270508747,1.217238278604,0.226072133238231
"nutrint",-116.217992598334,49.9328396844312,-2.32748614604769,0.0217360771532876
"NO_TK_AREA",110.035283287112,52.6077300267861,2.0916181563258,0.0387332285235067
"transi15LR",-12.3776188631622,54.0347604245857,-0.229067710597832,0.819234055505206
"transi15BRbtw",-130.761561707316,68.2214506214513,-1.91672209424113,0.0578213949460866
"resid15LR",87.8712870815593,59.7877473979489,1.46972065190357,0.144440950396295
"resid15BRbtw",-3.63978643200039,27.2572164053831,-0.133534781316905,0.894010101624019
"pare15BRbtw",-87.7640625736958,54.7580381824159,-1.60276126550273,0.111803959553911
