"Response","LM_AIC","LMM_AIC","Delta_AIC","LM_BIC","LMM_BIC","Delta_BIC","Singular_LMM","Preferred"
"biomass_kg_ha",1825.1642727974,1824.5252840201,-0.638988777306167,1864.76066511963,1866.94999007963,2.18932495999616,FALSE,"Tie"
"abundance_ind_250m2",1564.23075509772,1535.76682003301,-28.4639350647042,1603.82714741995,1578.19152609255,-25.6356213274019,FALSE,"LMM"
"FRic",-5754.19030754202,-5757.63708194588,-3.44677440386113,-5714.59391521979,-5715.21237588635,-0.618460666559258,FALSE,"LMM"
"FEve",-374.422461773335,-372.422461773335,1.99999999999994,-334.826069451103,-329.997755713801,4.82831373730227,FALSE,"Tie"
