"r.squared","adj.r.squared","sigma","statistic","p.value","df","logLik","AIC","BIC","deviance","df.residual","nobs","Response","Predictor"
0.00405632362610107,-0.00404077943384928,2.64214445858607e-11,0.50095986133168,0.480417685632678,1,2868.24641229382,-5730.49282458764,-5722.00788337573,8.58654062824558e-20,123,125,"FRic","sedimnt"
0.0257808528122151,0.0178603719407697,2.61316901547982e-11,3.25496055487731,0.0736547963202593,1,2869.62481421338,-5733.24962842676,-5724.76468721486,8.39924233326043e-20,123,125,"FRic","DESIG"
0.0110315930974594,0.00299119954540628,2.63287583607898e-11,1.37202153427458,0.24372894778883,1,2868.68568226473,-5731.37136452945,-5722.88642331755,8.52640325689659e-20,123,125,"FRic","crypto5BROF"
0.0274895229621577,0.0195829337179476,2.61087640841056e-11,3.47678652742559,0.0646189986810345,1,2869.73452838269,-5733.46905676538,-5724.98411555347,8.38451101259361e-20,123,125,"FRic","crypto5BRIF"
0.00195318765703653,-0.0061610140693289,2.64493269787166e-11,0.240712237987629,0.624566308687829,1,2868.11457009341,-5730.22914018683,-5721.74419897492,8.60467284081291e-20,123,125,"FRic","crypto5LR"
0.000500949314934219,-0.00762505922722068,2.64685629322656e-11,0.0616476480839839,0.80432452299596,1,2868.02369366945,-5730.04738733889,-5721.56244612698,8.61719333150146e-20,123,125,"FRic","crypto5BRin"
0.000171615186643423,-0.00795707086874975,2.64729232581466e-11,0.0211122911469267,0.88471130510015,1,2868.00310336209,-5730.00620672417,-5721.52126551227,8.62003268973016e-20,123,125,"FRic","crypto5BRout"
0.00854169183503575,0.000481055183288115,2.63618811571801e-11,1.05967955188549,0.305308296262782,1,2868.52852531495,-5731.0570506299,-5722.572109418,8.54786997118706e-20,123,125,"FRic","transi15BRIF"
0.0021835326732778,-0.00592879632937837,2.64462746057483e-11,0.269162243365971,0.604826463381367,1,2868.12899649599,-5730.25799299198,-5721.77305178007,8.60268691842855e-20,123,125,"FRic","transi15BRin"
0.0208179756737298,0.0128571462076628,2.61981657637199e-11,2.61505107758755,0.108415939261439,1,2869.30723429885,-5732.61446859771,-5724.1295273858,8.44202983941514e-20,123,125,"FRic","transi15BRout"
