"Response","LM_AIC","LMM_AIC","Delta_AIC","LM_BIC","LMM_BIC","Delta_BIC"
"biomass_kg_ha",1823.68890346098,1825.68890346098,2.00000000000023,1860.45698204591,1865.28529578322,4.82831373730255
"abundance_ind_250m2",1551.60199809165,1553.60199809165,2,1588.37007667658,1593.19839041388,4.82831373730232
"FRic",-5762.5741853976,-5760.5741853976,2,-5725.80610681267,-5720.97779307537,4.82831373730278
"FEve",-371.813325866393,-369.813325866393,2.00000000000006,-335.045247281463,-330.216933544161,4.82831373730232
