"Response","r.squared","adj.r.squared","sigma","statistic","p.value","df","logLik","AIC","BIC","deviance","df.residual","nobs"
"biomass_kg_ha",0.339197915929006,0.274872049338025,337.741239923582,5.27311848102737,1.1161072013477e-06,11,-898.844451730492,1823.68890346098,1860.45698204591,12889813.4013984,113,125
"abundance_ind_250m2",0.509224855017604,0.461450283382149,113.741965054986,10.6589099092978,3.21482670485128e-13,11,-762.800999045826,1551.60199809165,1588.37007667658,1461907.51144638,113,125
"FRic",0.343423102318675,0.279508537057661,2.23818150366462e-11,5.37315869890072,8.18790451967768e-07,11,2894.2870926988,-5762.5741853976,-5725.80610681267,5.66068578098147e-20,113,125
"FEve",0.240728387772143,0.166816991891556,0.0518329683582717,3.25698608318895,0.000677764895503463,11,198.906662933197,-371.813325866393,-335.045247281463,0.303592196797744,113,125
