"effect","term","estimate","std.error","statistic","df","p.value","Response","Predictor","p_adj_BH","sig"
"fixed","nutrint",-23.6392144385659,36.0539272358122,-0.655662676743997,37.1950200625369,0.516076528659565,"biomass_kg_ha","nutrint",0.95918479133401,""
"fixed","crypto5LR",205.296478792168,30.59868019522,6.70932463368921,122.99999999913,6.35802637230691e-10,"biomass_kg_ha","crypto5LR",3.81481582338415e-09,"***"
"fixed","crypto5BRout",-142.048439018089,46.6861341576326,-3.0426258584288,66.8891350162238,0.00334936927843556,"biomass_kg_ha","crypto5BRout",0.0100481078353067,"*"
"fixed","sst_sd_6_year_mean",4.7593818915803,44.7848013446746,0.106272256405716,2.26171764564703,0.924056060220207,"biomass_kg_ha","sst_sd_6_year_mean",0.95918479133401,""
"fixed","sst_q90_6_year_mean",-2.69200412913794,46.0629378267847,-0.0584418679342808,1.81466904917876,0.95918479133401,"biomass_kg_ha","sst_q90_6_year_mean",0.95918479133401,""
"fixed","sst_mean_6_year_mean",-3.73847104726104,45.9243948589796,-0.081404906014348,1.83959300095475,0.943099090514357,"biomass_kg_ha","sst_mean_6_year_mean",0.95918479133401,""
"fixed","nutrint",1.34869129429961,16.1402967670869,0.0835605016290558,55.6617016859319,0.933705669376768,"abundance_ind_250m2","nutrint",0.933705669376768,""
"fixed","crypto5LR",36.1324303625144,13.4106959813776,2.69429941687506,122.737178945944,0.00804177309045385,"abundance_ind_250m2","crypto5LR",0.0482506385427231,"*"
"fixed","crypto5BRout",-3.57354746106687,17.7323224479225,-0.201527322298695,63.5636985280857,0.840929812160564,"abundance_ind_250m2","crypto5BRout",0.933705669376768,""
"fixed","sst_sd_6_year_mean",-29.1658422934347,26.2549586914612,-1.11086986028739,3.23519129191262,0.342297526165514,"abundance_ind_250m2","sst_sd_6_year_mean",0.513446289248271,""
"fixed","sst_q90_6_year_mean",35.692856404701,27.1587157226089,1.31423211499606,3.30564393497918,0.272526851365631,"abundance_ind_250m2","sst_q90_6_year_mean",0.513446289248271,""
"fixed","sst_mean_6_year_mean",34.9907307805127,27.1071125641173,1.2908320905721,3.21047356377156,0.281859738133688,"abundance_ind_250m2","sst_mean_6_year_mean",0.513446289248271,""
