"effect","term","estimate","std.error","statistic","df","p.value","Response","Predictor"
"fixed","(Intercept)",5.86148171889209e-12,4.7405865513238e-12,1.23644651467344,8.42231559022246e-09,0.999999914079084,"FRic","nutrint"
"fixed","nutrint",7.08796263023482e-14,2.72450085699965e-12,0.0260156373672072,8.42231575469856e-09,0.999999946600133,"FRic","nutrint"
"fixed","(Intercept)",5.96755611130053e-12,4.57403999941905e-12,1.30465761385088,8.42978254968232e-09,0.999999913553973,"FRic","crypto5LR"
"fixed","crypto5LR",9.59252983875262e-13,2.3740694215695e-12,0.404054310779632,8.42978275078075e-09,0.999999923434911,"FRic","crypto5LR"
"fixed","(Intercept)",5.82283626028208e-12,4.76487638795321e-12,1.22203301537972,8.42159099150205e-09,0.999999914184862,"FRic","crypto5BRout"
"fixed","crypto5BRout",-1.99396118404961e-13,2.99855719728031e-12,-0.0664973536558893,8.42159115174442e-09,0.999999938701025,"FRic","crypto5BRout"
"fixed","(Intercept)",5.2599893016565e-12,4.46295159304979e-12,1.17858981707262,8.39569222639464e-09,0.999999914739739,"FRic","sst_sd_6_year_mean"
"fixed","sst_sd_6_year_mean",-4.14126117456133e-12,4.27143933155531e-12,-0.969523585168988,8.39569223702166e-09,0.999999916379159,"FRic","sst_sd_6_year_mean"
"fixed","(Intercept)",5.1206611067333e-12,4.64900534232667e-12,1.10145304848598,8.38440150947169e-09,0.999999915416284,"FRic","sst_q90_6_year_mean"
"fixed","sst_q90_6_year_mean",4.1035174499629e-12,4.52600351418937e-12,0.906653615512683,8.38440151890742e-09,0.999999917048099,"FRic","sst_q90_6_year_mean"
"fixed","(Intercept)",5.101191324771e-12,4.5994476669758e-12,1.10908780665073,8.38578496931728e-09,0.999999915345094,"FRic","sst_mean_6_year_mean"
"fixed","sst_mean_6_year_mean",4.23673473762259e-12,4.49845116067457e-12,0.941820770370945,8.38578497688266e-09,0.999999916715986,"FRic","sst_mean_6_year_mean"
"fixed","(Intercept)",0.672043506935238,0.00941212178008491,71.4019136850963,4.08830562257945,1.74108766380966e-07,"FEve","nutrint"
