"Response","LM_AIC","LMM_AIC","Delta_AIC","LM_BIC","LMM_BIC","Delta_BIC","Singular_LMM","Preferred"
"FRic",-5749.21275045705,-5754.25826713664,-5.04551667959186,-5715.27298560942,-5717.49018855171,-2.21720294228999,FALSE,"LMM"
"FEve",-375.306585739612,NA,NA,-341.366820891984,NA,NA,TRUE,"LM"
"FDiv",-440.168001411119,-438.168001411119,1.99999999999994,-406.228236563491,-401.399922826189,4.82831373730227,FALSE,"Tie"
"FDis",-439.467235563942,-437.467235563942,2,-405.527470716314,-400.699156979012,4.82831373730232,FALSE,"Tie"
"RaoQ",-737.833829569304,-735.833829569304,2,-703.894064721676,-699.065750984374,4.82831373730221,FALSE,"Tie"
