"term","estimate","std.error","statistic","p.value","Response","Predictor"
"(Intercept)",0.169289471536,0.00363952717709336,46.5141385951128,6.41636699715827e-80,"FDis","pare15BRin"
"pare15BRin",0.0047323422765093,0.00365417322088417,1.29505143583868,0.197728054926169,"FDis","pare15BRin"
"(Intercept)",0.169289471536,0.00365597439854235,46.3048843021156,1.08452000695707e-79,"FDis","pare15BRIF"
"pare15BRIF",0.0027417477217493,0.00367068662860238,0.746930478996848,0.456530944576303,"FDis","pare15BRIF"
"(Intercept)",0.169289471536,0.00363895626695483,46.5214361253276,6.30022800207574e-80,"FDis","sst_sd_6_year_mean"
"sst_sd_6_year_mean",0.0047864699466296,0.00365360001331125,1.31006950109233,0.192613693286816,"FDis","sst_sd_6_year_mean"
"(Intercept)",0.169289471536,0.00364487777694882,46.445856869778,7.61325118981046e-80,"FDis","sst_q90_6_year_mean"
"sst_q90_6_year_mean",-0.00419074714918624,0.00365954535241558,-1.14515513420814,0.254368222242721,"FDis","sst_q90_6_year_mean"
"(Intercept)",0.169289471536,0.00364360045402587,46.4621392142351,7.30883899544771e-80,"FDis","sst_mean_6_year_mean"
"sst_mean_6_year_mean",-0.00432627950891726,0.00365826288933938,-1.18260487006676,0.239246758141177,"FDis","sst_mean_6_year_mean"
"(Intercept)",0.036917386648,0.00109911178513856,33.5883821347124,8.36001533434281e-64,"RaoQ","sedimnt"
"sedimnt",-0.000810502255552545,0.00110353478805978,-0.734460086190448,0.46406625866443,"RaoQ","sedimnt"
"(Intercept)",0.0369122590793651,0.00110003748966393,33.5554555423761,9.32147503968984e-64,"RaoQ","DESIG"
"DESIG1",0.000640946079365081,0.00110003748966393,0.582658396088748,0.561189915677262,"RaoQ","DESIG"
"(Intercept)",0.036917386648,0.00109684639744352,33.6577543893525,6.64846075428648e-64,"RaoQ","crypto5BROF"
"crypto5BROF",-0.00112859920777788,0.00110126028407963,-1.02482512453548,0.307456995133439,"RaoQ","crypto5BROF"
"(Intercept)",0.036917386648,0.00109454523288012,33.7285162266504,5.26517066975454e-64,"RaoQ","crypto5BRIF"
"crypto5BRIF",0.0013780409454,0.00109894985925925,1.25396161962191,0.212233937459324,"RaoQ","crypto5BRIF"
"(Intercept)",0.036917386648,0.00110145215193445,33.5170135018238,1.05859249922659e-63,"RaoQ","crypto5LR"
"crypto5LR",-0.0001354242223051,0.00110588457286876,-0.122457827541439,0.902736300091841,"RaoQ","crypto5LR"
"(Intercept)",0.036917386648,0.00110131401130146,33.5212176265456,1.04396197357995e-63,"RaoQ","crypto5BRin"
"crypto5BRin",0.000236789808750374,0.00110574587633559,0.214144871636409,0.830788683059552,"RaoQ","crypto5BRin"
"(Intercept)",0.036917386648,0.00108798646984625,33.9318435211947,2.69937564524223e-64,"RaoQ","crypto5BRout"
"crypto5BRout",-0.00191674339160544,0.00109236470270613,-1.7546734958179,0.0818053118363552,"RaoQ","crypto5BRout"
"(Intercept)",0.036917386648,0.00109524853149143,33.7068579290663,5.65460273094155e-64,"RaoQ","transi15BRIF"
"transi15BRIF",0.00130691984525177,0.00109965598805749,1.1884806334392,0.236933722685425,"RaoQ","transi15BRIF"
"(Intercept)",0.036917386648,0.0011014002172009,33.5185939420112,1.05306843114647e-63,"RaoQ","transi15BRin"
"transi15BRin",0.000180346781714398,0.00110583242914147,0.163086899029008,0.87071766295829,"RaoQ","transi15BRin"
"(Intercept)",0.036917386648,0.00109979208175295,33.567605423343,8.95436758522166e-64,"RaoQ","transi15BRout"
"transi15BRout",-0.000686610165870453,0.00110421782229736,-0.621806813842165,0.535219750986835,"RaoQ","transi15BRout"
"(Intercept)",0.036917386648,0.00108589137643064,33.9973108261976,2.17841288045394e-64,"RaoQ","pare15BRout"
"pare15BRout",-0.00205879179804707,0.00109026117829704,-1.88834734193036,0.0613347807575811,"RaoQ","pare15BRout"
"(Intercept)",0.036917386648,0.00109295501516489,33.7775902354319,4.47975796462272e-64,"RaoQ","resid15BRout"
"resid15BRout",-0.00152653706084284,0.00109735324225171,-1.39110817015537,0.166703870145989,"RaoQ","resid15BRout"
"(Intercept)",0.036917386648,0.00109273691022659,33.7843320771007,4.38149789112428e-64,"RaoQ","resid15BRIF"
"resid15BRIF",0.00154577605713298,0.00109713425962399,1.40892150944476,0.161381400510421,"RaoQ","resid15BRIF"
"(Intercept)",0.036917386648,0.00110124183134901,33.5234147460386,1.03639711519948e-63,"RaoQ","pare15LR"
"pare15LR",-0.00027528475811471,0.00110567340591939,-0.248974748457304,0.803795576826319,"RaoQ","pare15LR"
"(Intercept)",0.036917386648,0.00109724095976846,33.6456512303282,6.9193645124098e-64,"RaoQ","pare15BRin"
"pare15BRin",0.0010799980700878,0.00110165643418694,0.980340182812873,0.328842549812173,"RaoQ","pare15BRin"
"(Intercept)",0.036917386648,0.0010971115087595,33.6496211672617,6.82930200519578e-64,"RaoQ","pare15BRIF"
"pare15BRIF",0.00109618297837034,0.00110152646224626,0.995149019057579,0.321617496720186,"RaoQ","pare15BRIF"
"(Intercept)",0.036917386648,0.00110062825236913,33.5421034018838,9.74242161234543e-64,"RaoQ","sst_sd_6_year_mean"
"sst_sd_6_year_mean",0.000493251894565543,0.00110505735779883,0.446358635671233,0.656123035161575,"RaoQ","sst_sd_6_year_mean"
"(Intercept)",0.036917386648,0.00110112679156204,33.5269170915635,1.02445224567792e-63,"RaoQ","sst_q90_6_year_mean"
"sst_q90_6_year_mean",-0.000327408455842337,0.00110555790319378,-0.296147723150913,0.767616697729125,"RaoQ","sst_q90_6_year_mean"
"(Intercept)",0.036917386648,0.00110103675036993,33.529658874326,1.015198143388e-63,"RaoQ","sst_mean_6_year_mean"
"sst_mean_6_year_mean",-0.00036301803160408,0.0011054674996614,-0.328384173858815,0.743179589959927,"RaoQ","sst_mean_6_year_mean"
