"Response","r.squared","adj.r.squared","sigma","statistic","p.value","df","logLik","AIC","BIC","deviance","df.residual","nobs"
"biomass_kg_ha",0.341965520272843,0.271461826016362,338.534494445794,4.85032059495815,2.20356162486619e-06,12,-898.582136398701,1825.1642727974,1864.76066511963,12835827.640123,112,125
"abundance_ind_250m2",0.465668664099075,0.40841887810969,119.210629008443,8.13398087087031,8.26432000981307e-11,12,-768.115377548858,1564.23075509772,1603.82714741995,1591651.49568191,112,125
"FRic",0.309020025748403,0.234986457078589,2.30629811754535e-11,4.17405281550883,2.11053443432746e-05,12,2891.09515377101,-5754.19030754202,-5714.59391521979,5.9572923278324e-20,112,125
"FEve",0.268215200123828,0.189809685851381,0.0511127681367232,3.42087163910209,0.000271228610036943,12,201.211230886668,-374.422461773335,-334.826069451103,0.292601687459024,112,125
"FDiv",0.184654338560024,0.0972958748343126,0.0391990978253327,2.113754416971,0.0212698437103488,12,234.383805863672,-440.767611727343,-401.171219405111,0.17209575827584,112,125
"FDis",0.156704890002918,0.0663518425032305,0.0394252267913496,1.73436197604137,0.0686013704343597,12,233.664786684117,-439.329573368234,-399.733181046002,0.174087032845527,112,125
"RaoQ",0.143960210608895,0.0522416617455629,0.0119409157716129,1.56958665823864,0.110669908957377,12,382.969171995964,-737.938343991927,-698.341951669695,0.0159695725800525,112,125
