"term","estimate","robust.se","t.value","p.value"
"(Intercept)",225.769792429404,12.8856435685687,17.5210334841259,7.17007684503635e-34
"Geomorphology1",-139.175828738527,43.5877439616055,-3.19300372281531,0.00182823785669402
"Geomorphology2",182.058278157456,37.2527255744078,4.88711296556857,3.43839304839537e-06
"Geomorphology3",-172.136183055345,46.530235771305,-3.69944790096035,0.000336542033464314
"Geomorphology4",187.143635928268,57.5387117441546,3.2524822029454,0.00151214948902496
"Geomorphology5",-45.4190274261257,26.2443210935805,-1.73062306562144,0.0862731885522565
"nutrint",-38.0017223543703,17.6987532435779,-2.14714120431954,0.0339384704418187
"NO_TK_AREA",-0.225198304970468,18.4869409891735,-0.0121814801649635,0.990302497663202
"transi15LR",-10.6034673627571,18.5026107343156,-0.573079524560905,0.56773966183713
"transi15BRbtw",-91.0814428876197,26.9010899856866,-3.38579005297116,0.000979522823789588
"resid15LR",-9.48070521740647,20.8422728124494,-0.454878664276167,0.650077017431548
"resid15BRbtw",-25.5466501489174,12.5815990128199,-2.03047721699658,0.0446770914942561
"pare15BRbtw",-65.8954410152,22.9894747294522,-2.86633086621941,0.00496161610279032
