"Response","Term","Df","GVIF","GVIF_adj","Check","Flag"
"logBiomass","sedimnt",1,2.71180523937999,2.71180523937999,2.71180523937999,FALSE
"logBiomass","NO_TK_AREA",1,1.30801495294357,1.30801495294357,1.30801495294357,FALSE
"logBiomass","grav_NC",1,4.07751743740809,4.07751743740809,4.07751743740809,FALSE
"logBiomass","Median_Depth",1,1.11124087249753,1.11124087249753,1.11124087249753,FALSE
"logBiomass","resid15LR",1,3.11775387273538,3.11775387273538,3.11775387273538,FALSE
"logBiomass","resid15BRIF",1,1.42110764137925,1.42110764137925,1.42110764137925,FALSE
"logBiomass","transi15LR",1,1.77758990840883,1.77758990840883,1.77758990840883,FALSE
"logabun","sedimnt",1,2.71180523937999,2.71180523937999,2.71180523937999,FALSE
"logabun","NO_TK_AREA",1,1.30801495294357,1.30801495294357,1.30801495294357,FALSE
"logabun","grav_NC",1,4.07751743740809,4.07751743740809,4.07751743740809,FALSE
"logabun","Median_Depth",1,1.11124087249753,1.11124087249753,1.11124087249753,FALSE
"logabun","resid15LR",1,3.11775387273538,3.11775387273538,3.11775387273538,FALSE
"logabun","resid15BRIF",1,1.42110764137925,1.42110764137925,1.42110764137925,FALSE
"logabun","transi15LR",1,1.77758990840883,1.77758990840883,1.77758990840883,FALSE
"fric","sedimnt",1,2.71180523937999,2.71180523937999,2.71180523937999,FALSE
"fric","NO_TK_AREA",1,1.30801495294357,1.30801495294357,1.30801495294357,FALSE
"fric","grav_NC",1,4.0775174374081,4.0775174374081,4.0775174374081,FALSE
"fric","Median_Depth",1,1.11124087249753,1.11124087249753,1.11124087249753,FALSE
"fric","resid15LR",1,3.11775387273539,3.11775387273539,3.11775387273539,FALSE
"fric","resid15BRIF",1,1.42110764137925,1.42110764137925,1.42110764137925,FALSE
"fric","transi15LR",1,1.77758990840883,1.77758990840883,1.77758990840883,FALSE
"feve","sedimnt",1,2.71180523937999,2.71180523937999,2.71180523937999,FALSE
"feve","NO_TK_AREA",1,1.30801495294357,1.30801495294357,1.30801495294357,FALSE
"feve","grav_NC",1,4.07751743740809,4.07751743740809,4.07751743740809,FALSE
"feve","Median_Depth",1,1.11124087249753,1.11124087249753,1.11124087249753,FALSE
"feve","resid15LR",1,3.11775387273538,3.11775387273538,3.11775387273538,FALSE
"feve","resid15BRIF",1,1.42110764137925,1.42110764137925,1.42110764137925,FALSE
"feve","transi15LR",1,1.77758990840883,1.77758990840883,1.77758990840883,FALSE
