"","Sum Sq","Mean Sq","NumDF","DenDF","F value","Pr(>F)"
"sedimnt",0.000102646608970669,0.000102646608970669,1,4.53127465533566,0.00992856128487799,0.924884288420596
"NO_TK_AREA",0.0311418634137706,0.0311418634137706,1,8.23919781238934,3.0122173789226,0.119760100017253
"grav_NC",0.00427758002551,0.00427758002551,1,2.35548978379694,0.413751763064884,0.577100097287684
"Median_Depth",0.0829422934937882,0.0829422934937882,1,85.7529744855334,8.02264831073697,0.00575648985228959
"resid15LR",0.047330941099611,0.047330941099611,1,8.54446534703672,4.57811664789355,0.0626546975012559
"resid15BRIF",0.0417281462481429,0.0417281462481429,1,11.7951521810095,4.03618260246108,0.0679845328407788
"transi15LR",0.115383522138774,0.115383522138774,1,7.76693891263405,11.1605476528431,0.0106639247921629
