"Fishing_Ground","n_transects","logBiomass_mean","logBiomass_sd","logBiomass_median","logBiomass_min","logBiomass_max","logBiomass_cv","logabun_mean","logabun_sd","logabun_median","logabun_min","logabun_max","logabun_cv","fric_mean","fric_sd","fric_median","fric_min","fric_max","fric_cv","feve_mean","feve_sd","feve_median","feve_min","feve_max","feve_cv"
"Kadavu",14,5.61816252946975,0.492926361387462,5.50740950257356,4.86157537654435,6.55717781485811,0.0877380030929766,4.9842302172461,0.735681163797979,5.03152606110373,3.98898404656427,6.60665018619822,0.147601762304723,0.0779360747142857,0.0400340207914407,0.0818151175,0.009392036,0.141009772,0.513677663882942,0.453058714285714,0.0911956353454809,0.4402445,0.33713,0.571824,0.201288778849025
"Kadavu_Ono",22,6.17229182504233,0.773654817098224,6.00501760276913,5.12727728018831,7.91861209206973,0.125343201363121,5.13668650720089,0.55471279005023,5.15247231962338,4.02535169073515,6.02102334934953,0.107990392108337,0.0780443076363636,0.0397562025899885,0.086736254,0.009912281,0.153580559,0.509405538905244,0.376450272727273,0.10095920853832,0.380084,0.09353,0.511094,0.26818736989324
"Muaira",20,5.66690850065678,0.99876673874853,5.68462964261476,3.5454784411962,7.75468318665956,0.176245432343362,5.44571191924201,0.830792229395484,5.4575442321073,4.39444915467244,6.77650699237218,0.152558975156204,0.1134942198,0.103282410458811,0.082559855,0.024331355,0.351568949,0.91002352931115,0.44347665,0.0758474340316589,0.451804,0.323244,0.588445,0.171029148956679
"Namara",18,5.15976774628763,0.79829632420208,5.27656499776827,3.2301589293621,6.44296345807785,0.154715553772055,4.88474817406464,0.728900791229136,4.89009466809582,3.87120101090789,6.18001665365257,0.149219727456822,0.0552027137222222,0.058190923396048,0.0266296285,0.014137467,0.195587405,1.05413157202492,0.424133166666667,0.10052816126969,0.41854,0.250029,0.602127,0.237020278465269
"Savusavu",20,5.62139602146854,0.557899942445778,5.75802399259075,4.20172654089615,6.65954627963306,0.0992457994980455,5.17665848064931,0.466835117807015,5.14688566932431,4.0943445622221,6.26530121273771,0.0901807835212763,0.09045614815,0.0817558043793083,0.0579478465,0.026416936,0.316991458,0.903816999190987,0.4253684,0.0864064332335699,0.4090205,0.216121,0.610538,0.203133174052351
