"Comparison","F_value","R2","p_value","n","p_adj"
"Kadavu_Ono vs Kadavu",3.26089566381094,0.0875152248950911,0.062,36,0.115
"Kadavu_Ono vs Namara",10.1792691618218,0.211279028073926,0.001,40,0.01
"Kadavu_Ono vs Savusavu",4.33714231884803,0.0978218733101408,0.019,42,0.095
"Kadavu_Ono vs Muaira",3.02490457569472,0.0703058985377396,0.069,42,0.115
"Kadavu vs Namara",1.6904579593296,0.05334280626361,0.173,32,0.247142857142857
"Kadavu vs Savusavu",0.601312593268798,0.0184444289336053,0.56,34,0.56
"Kadavu vs Muaira",1.3795606582009,0.0413295031749304,0.23,34,0.2875
"Namara vs Savusavu",3.29428933461805,0.0838363383178889,0.067,38,0.115
"Namara vs Muaira",3.73530122054488,0.0940046031062568,0.048,38,0.115
"Savusavu vs Muaira",0.811955905582859,0.0209202521913116,0.419,40,0.465555555555556
