"term","estimate","robust.se","t.value","p.value"
"(Intercept)",0.164761649973281,0.00435695235516023,37.8158025478849,1.30428086525418e-65
"Geomorphology1",0.0249895364937186,0.0124541653419323,2.00652037351556,0.047210196541173
"Geomorphology2",-0.0272761840718011,0.0148342331393701,-1.83873233051799,0.0686039419490091
"Geomorphology3",0.0315679629185631,0.0173249368593763,1.82211128241304,0.0711064185921353
"Geomorphology4",-0.019788181832537,0.013165813214442,-1.50299730903297,0.135654209456449
"Geomorphology5",0.00349040253478337,0.00882883214401212,0.395341363144006,0.693342960195358
"nutrint",0.00629138835117209,0.00605479069482907,1.03907610820389,0.301007346010574
"NO_TK_AREA",0.00587158108775813,0.00590533079618824,0.994284874193348,0.322227484456207
"transi15LR",-0.00953632101140736,0.00635380547846031,-1.50088337512628,0.136199657883098
"transi15BRbtw",0.0129002007236004,0.00618401795512419,2.08605486226169,0.0392443571479414
"resid15LR",0.00306090576878429,0.00610843112891262,0.501095241017995,0.617287524942928
"resid15BRbtw",0.00760593717361204,0.00536857849811441,1.41675066803688,0.15933135817871
"pare15BRbtw",0.013797175842538,0.00598525722500312,2.30519346518659,0.0229978091326801
