"Response","r.squared","adj.r.squared","sigma","statistic","p.value","df","logLik","AIC","BIC","deviance","df.residual","nobs"
"FRic",0.322251884851708,0.262800295803612,2.26398455069384e-11,5.42040826849909,1.53572366500687e-06,10,2892.30359972057,-5760.60719944114,-5726.66743459351,5.84321369218966e-20,114,125
"FEve",0.236752184050968,0.169800621248421,0.0517400781626123,3.53617113836755,0.000424651746568811,10,198.580212849258,-373.160425698515,-339.220660850888,0.305182068463149,114,125
"FDiv",0.159104744714086,0.0853420030223387,0.039457787185941,2.15697981209784,0.0254205124092656,10,232.455371075702,-440.910742151405,-406.970977303777,0.177488534535655,114,125
"FDis",0.139091044336484,0.0635727148923155,0.0394838604002005,1.84181834211939,0.0609789599333232,10,232.372799910782,-440.745599821565,-406.805834973937,0.177723176459687,114,125
"RaoQ",0.105153805185734,0.026658524938869,0.0121010050644997,1.33961946317064,0.218006995566622,10,380.198234737054,-736.396469474109,-702.456704626481,0.0166935128870994,114,125
