"term","estimate","robust.se","t.value","p.value"
"(Intercept)",0.842321293680851,0.00821932014651454,102.480652738419,1.12484313230066e-91
"sedimnt",0.00882521344449147,0.0120944613733407,0.729690489891887,0.467562255900066
"NO_TK_AREA",-0.00612934737848192,0.00907663147122227,-0.675288778432307,0.501303966263549
"grav_NC",-0.00689953871601039,0.0147728869769034,-0.467040648642166,0.641651921787837
"Median_Depth",-0.0124408572099101,0.00880879867414676,-1.41232166497608,0.161463759190402
"resid15LR",0.0279110987504955,0.0126604623309182,2.20458763834664,0.0301528794944576
"resid15BRIF",-0.036710893189504,0.00958836823111592,-3.82869037824087,0.000243950019965741
"transi15LR",-0.0117739467002441,0.0142781426307196,-0.824613327150289,0.411872471690543
