"var_removed","rival","r"
"nutrint","pare5BRin",0.81121066011336
"pare5BRin","transi15BRIF",0.831694423624208
"Rnetflow","Cnetflow",0.961896812126021
"sst_q90_6_year_mean","sst_mean_6_year_mean",0.996684408784744
"transi15BRIF","Cnetflow",-0.79065211971591
"sst_mean_6_year_mean","sst_sd_6_year_mean",-0.975637588929563
"Cnetflow","resid15BRIF",-0.79623133245164
"crypto5LR","sedimnt",-0.874160926385229
"sst_sd_6_year_mean","NO_TK_AREA",0.776881538609627
