"analysis","response","predictor","pred_type","n","r2","p_value","p_adj"
"functionalDiv_traitbased","fric","nutrint","numeric",94,0.0124245694207971,0.284810129901168,0.638658047732586
"functionalDiv_traitbased","fric","crypto5LR","numeric",94,0.0137123173887363,0.261011220808234,0.638658047732586
"functionalDiv_traitbased","fric","pare5BRin","numeric",94,0.0229936860909097,0.144578184737164,0.638658047732586
"functionalDiv_traitbased","fric","Rnetflow","numeric",94,0.00690845242486858,0.425772031821724,0.638658047732586
"functionalDiv_traitbased","fric","Cnetflow","numeric",94,0.0132657702077843,0.26897503508802,0.638658047732586
"functionalDiv_traitbased","fric","transi15BRIF","numeric",94,0.00890024860231746,0.365755606491871,0.638658047732586
"functionalDiv_traitbased","fric","sst_sd_6_year_mean","numeric",94,0.000652573174547166,0.806921855876808,0.806921855876808
"functionalDiv_traitbased","fric","sst_q90_6_year_mean","numeric",94,0.00113523640867738,0.747157928393026,0.806921855876808
"functionalDiv_traitbased","fric","sst_mean_6_year_mean","numeric",94,0.000996673801146396,0.762603435816584,0.806921855876808
"functionalDiv_traitbased","fdiv","nutrint","numeric",94,0.00292727099605065,0.60451319332293,0.777231248558053
"functionalDiv_traitbased","fdiv","crypto5LR","numeric",94,3.25386126733408e-06,0.986233226414686,0.986233226414686
"functionalDiv_traitbased","fdiv","pare5BRin","numeric",94,0.0338563141738723,0.0758523348226576,0.17066775335098
"functionalDiv_traitbased","fdiv","Rnetflow","numeric",94,0.144195024456954,0.000160150960604373,0.000480629898326795
"functionalDiv_traitbased","fdiv","Cnetflow","numeric",94,0.149962112267589,0.000115319274815318,0.000480629898326795
"functionalDiv_traitbased","fdiv","transi15BRIF","numeric",94,0.144188541120184,0.000160209966108932,0.000480629898326795
"functionalDiv_traitbased","fdiv","sst_sd_6_year_mean","numeric",94,0.0196228780309992,0.178102454899305,0.320584418818749
"functionalDiv_traitbased","fdiv","sst_q90_6_year_mean","numeric",94,0.000512202084838048,0.828585500810867,0.932158688412226
"functionalDiv_traitbased","fdiv","sst_mean_6_year_mean","numeric",94,0.00303516664772784,0.597919898006894,0.777231248558053
"functionalDiv_traitbased","fspe","nutrint","numeric",94,2.08711920855246e-05,0.965142877683591,0.965142877683591
"functionalDiv_traitbased","fspe","crypto5LR","numeric",94,5.0354061586347e-05,0.945881821534931,0.965142877683591
"functionalDiv_traitbased","fspe","pare5BRin","numeric",94,0.00544426514358211,0.479711135590755,0.639163390704093
"functionalDiv_traitbased","fspe","Rnetflow","numeric",94,0.00502619139763666,0.497127081658739,0.639163390704093
"functionalDiv_traitbased","fspe","Cnetflow","numeric",94,0.016226241683174,0.221147100717205,0.497580976613711
"functionalDiv_traitbased","fspe","transi15BRIF","numeric",94,0.00514978845589438,0.491870781063129,0.639163390704093
"functionalDiv_traitbased","fspe","sst_sd_6_year_mean","numeric",94,0.0343255547937103,0.0738160085233078,0.249158846023547
"functionalDiv_traitbased","fspe","sst_q90_6_year_mean","numeric",94,0.0322978706620873,0.0830529486745158,0.249158846023547
"functionalDiv_traitbased","fspe","sst_mean_6_year_mean","numeric",94,0.0335531967598496,0.0771992460488812,0.249158846023547
"functionalDiv_traitbased","fori","nutrint","numeric",94,0.00135258043900925,0.72489919414294,0.997068551252756
"functionalDiv_traitbased","fori","crypto5LR","numeric",94,0.000454617033249491,0.838369690718477,0.997068551252756
"functionalDiv_traitbased","fori","pare5BRin","numeric",94,0.00383288400226193,0.553328137996986,0.997068551252756
"functionalDiv_traitbased","fori","Rnetflow","numeric",94,1.47522693197078e-07,0.997068551252756,0.997068551252756
"functionalDiv_traitbased","fori","Cnetflow","numeric",94,7.43031415136675e-05,0.934283624627174,0.997068551252756
"functionalDiv_traitbased","fori","transi15BRIF","numeric",94,0.00377864698878915,0.556154209725866,0.997068551252756
"functionalDiv_traitbased","fori","sst_sd_6_year_mean","numeric",94,0.0572200090046471,0.020233695925855,0.060701087777565
"functionalDiv_traitbased","fori","sst_q90_6_year_mean","numeric",94,0.0641011350306782,0.0138124898485221,0.060701087777565
"functionalDiv_traitbased","fori","sst_mean_6_year_mean","numeric",94,0.0634629835802027,0.0143092938337563,0.060701087777565
"functionalDiv_traitbased","feve","nutrint","numeric",94,0.0226203335081551,0.147918890550482,0.443756671651446
"functionalDiv_traitbased","feve","crypto5LR","numeric",94,0.0857005269007355,0.00419229021161781,0.0377306119045603
"functionalDiv_traitbased","feve","pare5BRin","numeric",94,0.0317471016777905,0.0857683028461102,0.385957362807496
