"Response","r.squared","adj.r.squared","sigma","statistic","p.value","df","logLik","AIC","BIC","deviance","df.residual","nobs"
"biomass_kg_ha",0.333771369705109,0.275330261784504,337.634512762257,5.71124302021372,6.60007902294172e-07,10,-899.355609499186,1822.71121899837,1856.650983846,12995665.3197356,114,125
"abundance_ind_250m2",0.393083002535315,0.339844669424377,125.930490055252,7.38345811308956,6.0428546070883e-09,10,-776.076372156286,1576.15274431257,1610.0925091602,1807867.66911338,114,125
