"term","estimate","robust.se","t.value","p.value"
"(Intercept)",370.224594837698,41.6751122832479,8.88358961870192,1.09317489092651e-14
"Geomorphology1",-216.244162207957,88.9579976708429,-2.43085689729765,0.0166214607024922
"Geomorphology2",161.044286296996,85.8918264992644,1.87496637178132,0.063356368224832
"Geomorphology3",-358.785588625284,88.429723536609,-4.05729628315247,9.12377184662857e-05
"Geomorphology4",369.42271778222,113.836099083329,3.2452158915934,0.00154074312516408
"Geomorphology5",68.6323099730718,73.2710707473204,0.936690419193604,0.35089794533839
"sedimnt",-72.0253808349466,35.0893427889993,-2.05262837973491,0.0423981153984806
"NO_TK_AREA",18.9908005955386,31.4677051472108,0.60350128827942,0.547374182165013
"crypto5BROF",59.6946081623171,50.7067486913256,1.17725174070427,0.241547072777459
"crypto5BRIF",24.5243542722148,48.9176968739,0.501339103012835,0.617099230127419
"crypto5BRin",-173.119418382925,58.7731505390135,-2.94555280421812,0.00390903197974633
