"Fishing_Ground","n_transects","logBiomass_mean","logBiomass_sd","logBiomass_median","logBiomass_min","logBiomass_max","logBiomass_cv","logabun_mean","logabun_sd","logabun_median","logabun_min","logabun_max","logabun_cv"
"Kadavu",14,5.61816252946975,0.492926361387462,5.50740950257356,4.86157537654435,6.55717781485811,0.0877380030929766,4.9842302172461,0.735681163797979,5.03152606110373,3.98898404656427,6.60665018619822,0.147601762304723
"Kadavu_Ono",22,6.17229182504233,0.773654817098224,6.00501760276913,5.12727728018831,7.91861209206973,0.125343201363121,5.13668650720089,0.55471279005023,5.15247231962338,4.02535169073515,6.02102334934953,0.107990392108337
"Muaira",20,5.66690850065678,0.99876673874853,5.68462964261476,3.5454784411962,7.75468318665956,0.176245432343362,5.44571191924201,0.830792229395484,5.4575442321073,4.39444915467244,6.77650699237218,0.152558975156204
"Namara",18,5.15976774628763,0.79829632420208,5.27656499776827,3.2301589293621,6.44296345807785,0.154715553772055,4.88474817406464,0.728900791229136,4.89009466809582,3.87120101090789,6.18001665365257,0.149219727456822
"Savusavu",20,5.62139602146854,0.557899942445778,5.75802399259075,4.20172654089615,6.65954627963306,0.0992457994980455,5.17665848064931,0.466835117807015,5.14688566932431,4.0943445622221,6.26530121273771,0.0901807835212763
