"Response","r.squared","adj.r.squared","sigma","statistic","p.value","df","logLik","AIC","BIC","deviance","df.residual","nobs"
"logBiomass",0.199484174853941,0.134325910016471,0.758150089835321,3.06153295136898,0.00631338592882314,7,-103.173543185679,224.347086371359,247.236739411789,49.4320740496883,86,94
"logabun",0.153265082314796,0.0843447983171628,0.652128977928867,2.22380224550525,0.0398419172820699,7,-89.0134760137466,196.026952027493,218.916605067923,36.5734095314912,86,94
"fric",0.149658516613566,0.0804446749425771,0.0685839015174884,2.16226282200856,0.045478596917539,7,122.691869414931,-227.383738829862,-204.494085789431,0.404522633073007,86,94
"feve",0.146826008158844,0.0773816134740988,0.0898519767128512,2.11429603246433,0.0503962863578814,7,97.3019263115808,-176.603852623162,-153.714199582732,0.694310483851781,86,94
