"r.squared","adj.r.squared","sigma","statistic","p.value","df","logLik","AIC","BIC","deviance","df.residual","nobs","Response","Predictor"
0.192268829931274,0.183489143300092,0.736307057272771,21.899281604017,9.85244593167104e-06,1,-103.595273787659,213.190547575319,220.820431922129,49.8776235982512,92,94,"logBiomass","nutrint"
0.168233285136293,0.159192342583427,0.747181844101924,18.607936523494,4.03200395077451e-05,1,-104.973441527352,215.946883054703,223.576767401513,51.3618251503108,92,94,"logBiomass","crypto5LR"
0.10703145990058,0.0973252801168906,0.774182983225567,11.0271458272842,0.00128855595555369,1,-108.310410511508,222.620821023017,230.250705369827,55.1410548194755,92,94,"logBiomass","pare5BRin"
0.0577240579105622,0.0474819281052422,0.795269988041507,5.6359428173405,0.0196744222196084,1,-110.836510723943,227.673021447886,235.302905794696,58.1858005569176,92,94,"logBiomass","Rnetflow"
0.0504549449422687,0.0401338030394673,0.798331618311362,4.88850414202463,0.0295145400529241,1,-111.197697106164,228.395394212328,236.025278559138,58.6346702971987,92,94,"logBiomass","Cnetflow"
0.055332582849665,0.0450644587502048,0.796278537163029,5.38877231261493,0.0224753217552496,1,-110.955644546898,227.911289093795,235.541173440605,58.3334748046774,92,94,"logBiomass","transi15BRIF"
0.0779088491316888,0.0678861192309462,0.786706011779237,7.77321646928918,0.00644290272869934,1,-109.818768820531,225.637537641062,233.267421987872,56.9393841052026,92,94,"logBiomass","sst_sd_6_year_mean"
0.0788880043934089,0.0688759174846416,0.786288204964078,7.87927682932207,0.00610419941666709,1,-109.768833682651,225.537667365302,233.167551712112,56.8789209964381,92,94,"logBiomass","sst_q90_6_year_mean"
0.0798888167279342,0.0698876082141074,0.785860927495016,7.98791632206117,0.00577641121818472,1,-109.717739187541,225.435478375081,233.065362721891,56.8171205574261,92,94,"logBiomass","sst_mean_6_year_mean"
0.0343861759155044,0.0238903734798033,0.673312711137751,3.27618361017746,0.0735571768247319,1,-95.1881624296214,196.376324859243,204.006209206053,41.7082006421296,92,94,"logabun","nutrint"
0.0396157650087499,0.029176805932758,0.671486966128759,3.79499188763568,0.0544542035958316,1,-94.932927186502,195.865854373004,203.495738719814,41.482316602634,92,94,"logabun","crypto5LR"
0.00415368345350299,-0.0066707330306981,0.683771880269733,0.383732782230392,0.537143356659954,1,-96.637123491689,199.274246983378,206.904131330188,43.0140465507798,92,94,"logabun","pare5BRin"
0.0121979671652297,0.00146098854746035,0.681004581770304,1.13607073269593,0.289273378370893,1,-96.2559234597778,198.511846919556,206.141731266366,42.6665861160775,92,94,"logabun","Rnetflow"
0.0270279193062687,0.0164521358204672,0.675873261157993,2.55564226920446,0.113330092987804,1,-95.5449582988675,197.089916597735,204.719800944545,42.0260291936473,92,94,"logabun","Cnetflow"
0.00589862557068153,-0.00490682415137633,0.683172558138867,0.545893574298931,0.461881274702808,1,-96.5546969023877,199.109393804775,206.739278151585,42.9386764658484,92,94,"logabun","transi15BRIF"
0.00211689829156309,-0.00872965716178942,0.684470775777161,0.19516779319178,0.659686542842645,1,-96.7331535096417,199.466307019283,207.096191366093,43.102022346155,92,94,"logabun","sst_sd_6_year_mean"
0.00387471826859794,-0.00695273044587386,0.68386764564496,0.357860690064416,0.55116665367566,1,-96.6502876992385,199.300575398477,206.930459745287,43.0260960219182,92,94,"logabun","sst_q90_6_year_mean"
0.00342582365519035,-0.00740650434855761,0.684021717592989,0.316259224610354,0.575232158832239,1,-96.671463042165,199.34292608433,206.97281043114,43.0454853327754,92,94,"logabun","sst_mean_6_year_mean"
0.0124245694207973,0.00169005387102328,0.0714604841493049,1.15744109393543,0.284810129901166,1,115.659970746403,-225.319941492806,-217.690057145996,0.469807273126481,92,94,"fric","nutrint"
0.0137123173887363,0.00299179909948333,0.0714138785390753,1.27907224434127,0.261011220808234,1,115.721296339526,-225.442592679052,-217.812708332242,0.46919466841543,92,94,"fric","crypto5LR"
0.0229936860909097,0.0123740522440718,0.0710770674455888,2.16520516832661,0.144578184737164,1,116.165679686604,-226.331359373208,-218.701475026398,0.46477935553316,92,94,"fric","pare5BRin"
0.00690845242486855,-0.00388602091833934,0.071659778036217,0.639999025910371,0.425772031821725,1,115.398181993475,-224.79636398695,-217.16647964014,0.47243138851439,92,94,"fric","Rnetflow"
0.0132657702077843,0.00254039814482543,0.0714300432230544,1.23685874298002,0.268975035088021,1,115.700021646395,-225.400043292791,-217.770158945981,0.469407098885963,92,94,"fric","Cnetflow"
0.00890024860231746,-0.00187257478243996,0.0715878796741283,0.82617604359044,0.36575560649187,1,115.492542302214,-224.985084604428,-217.355200257618,0.471483855493847,92,94,"fric","transi15BRIF"
0.000652573174547155,-0.0102098988561643,0.07188513044078,0.0600759360026093,0.80692185587681,1,115.10303891029,-224.20607782058,-216.57619347377,0.475407422020893,92,94,"fric","sst_sd_6_year_mean"
0.001135236408677,-0.0097219892825331,0.0718677688611046,0.104560450428518,0.747157928393066,1,115.125744379263,-224.251488758526,-216.621604411716,0.475177810498731,92,94,"fric","sst_q90_6_year_mean"
0.000996673801146189,-0.00986205800536322,0.0718727534398422,0.0917854698786033,0.762603435816608,1,115.119224987319,-224.238449974639,-216.608565627829,0.47524372720624,92,94,"fric","sst_mean_6_year_mean"
0.00292727099605054,-0.00791047605834039,0.0816372269436546,0.270099586321734,0.604513193322937,1,103.144740923202,-200.289481846403,-192.659597499593,0.613146587720579,92,94,"fdiv","nutrint"
3.25386126733391e-06,-0.0108662759880669,0.0817568440439332,0.000299356210658299,0.986233226414686,1,103.007110354762,-200.014220709523,-192.384336362713,0.61494470241821,92,94,"fdiv","crypto5LR"
0.0338563141738723,0.0233547523714143,0.0803610652657879,3.22393133618927,0.0758523348226578,1,104.625764921792,-203.251529843584,-195.621645496774,0.594126874580005,92,94,"fdiv","pare5BRin"
0.144195024456954,0.134892796461921,0.07563315701157,15.5011277442293,0.000160150960604373,1,110.325457195093,-214.650914390185,-207.021030043375,0.526274448437385,92,94,"fdiv","Rnetflow"
0.149962112267589,0.140722570009628,0.0753778883504706,16.230469874022,0.000115319274815318,1,110.643252187384,-215.286504374769,-207.656620027959,0.522727996800193,92,94,"fdiv","Cnetflow"
0.144188541120184,0.134886242654099,0.0756334434987447,15.5003133522191,0.000160209966108933,1,110.325101137716,-214.650202275433,-207.020317928623,0.526278435343959,92,94,"fdiv","transi15BRIF"
0.0196228780309994,0.0089666049661189,0.0809508492324392,1.84143911398723,0.178102454899303,1,103.938401684287,-201.876803368573,-194.246919021763,0.602879679213685,92,94,"fdiv","sst_sd_6_year_mean"
0.000512202084838265,-0.0103517957185875,0.0817360363281078,0.0471467404638793,0.828585500810831,1,103.031037088375,-200.062074176749,-192.432189829939,0.614631726385938,92,94,"fdiv","sst_q90_6_year_mean"
0.00303516664772815,-0.0078014076278401,0.0816328097432585,0.280085437569616,0.597919898006874,1,103.149827182086,-200.299654364172,-192.669770017362,0.613080237645272,92,94,"fdiv","sst_mean_6_year_mean"
2.08711920855204e-05,-0.0108484671645224,0.101906268167702,0.00192018974851695,0.965142877683594,1,82.2985413292601,-158.59708265852,-150.96719831171,0.955409649251812,92,94,"fspe","nutrint"
5.03540615863478e-05,-0.0108186638290486,0.101904765880671,0.0046328069465903,0.94588182153493,1,82.2999270734767,-158.599854146953,-150.969969800143,0.955381480445887,92,94,"fspe","crypto5LR"
0.00544426514358211,-0.00536612327877029,0.10162954777199,0.503614202457808,0.479711135590755,1,82.5541399137518,-159.108279827504,-151.478395480694,0.950227978191206,92,94,"fspe","pare5BRin"
0.00502619139763668,-0.00578874130456297,0.101650906143386,0.464745508459282,0.497127081658739,1,82.5343870365821,-159.068774073164,-151.438889726354,0.950627418218971,92,94,"fspe","Rnetflow"
0.016226241683174,0.00553304865799109,0.101077163741606,1.51743652667267,0.221147100717205,1,83.0664488254372,-160.132897650874,-152.503013304064,0.93992655876437,92,94,"fspe","Cnetflow"
0.00514978845589437,-0.00566380080001982,0.101644592337406,0.476233037340292,0.491870781063129,1,82.5402258059273,-159.080451611855,-151.450567265045,0.950509329932249,92,94,"fspe","transi15BRIF"
0.0343255547937103,0.0238290934327723,0.100143046571878,3.2702025581165,0.0738160085233079,1,83.9392005693167,-161.878401138633,-154.248516791823,0.922633939456154,92,94,"fspe","sst_sd_6_year_mean"
0.0322978706620877,0.0217793692562408,0.100248129597379,3.07057720638174,0.083052948674514,1,83.8406153372592,-161.681230674518,-154.051346327708,0.924571248875098,92,94,"fspe","sst_q90_6_year_mean"
0.0335531967598498,0.0230483402028916,0.100183086373852,3.19406520002646,0.0771992460488804,1,83.9016244290468,-161.803248858094,-154.173364511284,0.923371873175938,92,94,"fspe","sst_mean_6_year_mean"
0.0013525804390092,-0.00950228281708854,0.0641589731131535,0.124605939945802,0.724899194142944,1,125.791353664889,-245.582707329778,-237.952822982968,0.37870639244596,92,94,"fori","nutrint"
0.000454617033249488,-0.01041000669465,0.0641878118522928,0.0418437899586038,0.838369690718478,1,125.74911121175,-245.4982224235,-237.86833807669,0.379046917515452,92,94,"fori","crypto5LR"
0.00383288400226192,-0.00699501943249614,0.0640792489492301,0.353982100538337,0.553328137996987,1,125.908231024131,-245.816462048262,-238.186577701452,0.377765813422561,92,94,"fori","pare5BRin"
1.4752269319717e-07,-0.0108694160911906,0.0642024025296153,1.35720897763308e-05,0.997068551252755,1,125.727746286381,-245.455492572761,-237.825608225951,0.379219261132877,92,94,"fori","Rnetflow"
7.43031415136665e-05,-0.0107944544330352,0.0642000220006862,0.00683639698502994,0.934283624627174,1,125.731231730214,-245.462463460427,-237.832579113617,0.37919113988975,92,94,"fori","Cnetflow"
0.00377864698878915,-0.00704984597872405,0.0640809933451894,0.348954097317656,0.556154209725866,1,125.905672146007,-245.811344292014,-238.181459945204,0.377786381145771,92,94,"fori","transi15BRIF"
0.0572200090046471,0.0469724004068716,0.0623385204677974,5.5837426321169,0.0202336959258549,1,128.497088914664,-250.994177829329,-243.364293482519,0.357520384338488,92,94,"fori","sst_sd_6_year_mean"
0.0641011350306786,0.053928321281012,0.0621106068469248,6.30121976162001,0.0138124898485218,1,128.841388706489,-251.682777412979,-244.052893066169,0.35491092842618,92,94,"fori","sst_q90_6_year_mean"
0.0634629835802028,0.0532832334017268,0.0621317785894574,6.23423782190532,0.0143092938337562,1,128.809352235033,-251.618704470067,-243.988820123257,0.355152927783421,92,94,"fori","sst_mean_6_year_mean"
0.0226203335081557,0.0119966414810704,0.092981338495361,2.12923468135982,0.147918890550475,1,90.914077450747,-175.828154901494,-168.198270554684,0.79538869637178,92,94,"feve","nutrint"
0.0857005269007352,0.0757624891496562,0.0899307838079312,8.62348574711651,0.00419229021161774,1,94.0497770178956,-182.099554035791,-174.469669688981,0.744054220620414,92,94,"feve","crypto5LR"
