"Response","r.squared","adj.r.squared","sigma","statistic","p.value","df","logLik","AIC","BIC","deviance","df.residual","nobs"
"biomass_kg_ha",0.339197915929006,0.274872049338025,337.741239923582,5.27311848102737,1.1161072013477e-06,11,-898.844451730492,1823.68890346098,1860.45698204591,12889813.4013984,113,125
"abundance_ind_250m2",0.509224855017604,0.461450283382149,113.741965054986,10.6589099092978,3.21482670485128e-13,11,-762.800999045826,1551.60199809165,1588.37007667658,1461907.51144638,113,125
