"Response","LM_AIC","LMM_AIC","Delta_AIC","LM_BIC","LMM_BIC","Delta_BIC"
"FRic",-5760.60719944114,-5758.60719944114,2,-5726.66743459351,-5721.83912085621,4.82831373730187
"FEve",-373.160425698515,-371.160425698516,1.99999999999994,-339.220660850888,-334.392347113586,4.82831373730227
"FDiv",-440.910742151405,-438.910742151405,2,-406.970977303777,-402.142663566475,4.82831373730232
"FDis",-440.745599821565,-438.745599821565,2.00000000000011,-406.805834973937,-401.977521236635,4.82831373730244
"RaoQ",-736.396469474109,-734.396469474109,2.00000000000011,-702.456704626481,-697.628390889179,4.82831373730232
