"Response","LM_AIC","LMM_AIC","Delta_AIC","LM_BIC","LMM_BIC","Delta_BIC","Singular_LMM","Preferred"
"biomass_kg_ha",1822.71121899837,1821.57997176883,-1.1312472295383,1856.650983846,1858.34805035376,1.69706650776402,FALSE,"Tie"
"abundance_ind_250m2",1576.15274431257,1537.51816418883,-38.6345801237392,1610.0925091602,1574.28624277376,-35.8062663864368,FALSE,"LMM"
