"Response","term","estimate","std.error","statistic","p.value"
"biomass_kg_ha","(Intercept)",312.465516225007,85.6647168420208,3.64754040804503,0.000402012277926813
"biomass_kg_ha","GeomorphologyDeep Lagoon",663.068041192927,253.405334568066,2.61663016022587,0.0100945175026583
"biomass_kg_ha","GeomorphologyInner Reef Flat",-138.35727850963,123.396434157254,-1.12124211250148,0.264561938142234
"biomass_kg_ha","GeomorphologyOuter Reef Flat",856.315749577005,237.619304396356,3.60372972117048,0.000467890388451786
"biomass_kg_ha","GeomorphologySheltered Reef Slope",547.239042906536,249.584897739186,2.19259677914645,0.0303861224657523
"biomass_kg_ha","GeomorphologyTerrestrial Reef Flat",392.356144458008,289.203655445071,1.35667768048848,0.177587825150809
"biomass_kg_ha","sedimnt",-40.2013172964449,217.398805984062,-0.184919678442908,0.853623521252533
"biomass_kg_ha","nutrint",-97.1415549786655,227.061262141786,-0.427820906403693,0.669595751874159
"biomass_kg_ha","LocationKuata",-463.512069626312,177.473446906609,-2.61172630444387,0.0102319034298941
"biomass_kg_ha","LocationTotoya",-713.975779113943,210.972501560557,-3.3842125103162,0.000982008097849408
"biomass_kg_ha","LocationVanuaLevu",-652.510192224313,240.656527311712,-2.71137541754329,0.00774707306801637
"biomass_kg_ha","LocationYasawa",-477.823371047745,140.189292747455,-3.40841559068654,0.000906357111107063
"abundance_ind_250m2","(Intercept)",159.176915397507,28.8495216980166,5.51748888815894,2.21100466311052e-07
"abundance_ind_250m2","GeomorphologyDeep Lagoon",309.843664660942,85.3399505364211,3.63069890143314,0.000426224192825296
"abundance_ind_250m2","GeomorphologyInner Reef Flat",-67.9761989983286,41.5565268398966,-1.63575265229017,0.104673852394606
"abundance_ind_250m2","GeomorphologyOuter Reef Flat",323.266184491054,80.023649534643,4.03963311309752,9.79293942458054e-05
"abundance_ind_250m2","GeomorphologySheltered Reef Slope",58.9317627913323,84.0533324367672,0.701123454393273,0.484667305390833
"abundance_ind_250m2","GeomorphologyTerrestrial Reef Flat",-32.5644254793134,97.3958409072292,-0.334351294428798,0.738734246977802
"abundance_ind_250m2","sedimnt",0.684739775208779,73.2139415335531,0.00935258723770487,0.992554315562742
"abundance_ind_250m2","nutrint",-55.6400737643056,76.4679911452794,-0.727625676194326,0.468347707217131
"abundance_ind_250m2","LocationKuata",-2.47304172056042,59.7681781496592,-0.0413772311139874,0.967068185167717
"abundance_ind_250m2","LocationTotoya",-266.364556701851,71.0497388636739,-3.74898713157744,0.000281560192981841
"abundance_ind_250m2","LocationVanuaLevu",-191.905101127749,81.0465027188759,-2.36783938467284,0.0195913354543058
"abundance_ind_250m2","LocationYasawa",57.2271257338471,47.2118999751766,1.21213350371276,0.227989628205494
"FRic","(Intercept)",1.10348667599719e-11,5.67692547098661e-12,1.94381039814041,0.0544046544805805
"FRic","GeomorphologyDeep Lagoon",-1.41885702057569e-11,1.67929487346146e-11,-0.844912375425204,0.39994513394045
"FRic","GeomorphologyInner Reef Flat",6.17464752299704e-12,8.17737320474767e-12,0.755089362854582,0.451766304621256
"FRic","GeomorphologyOuter Reef Flat",9.01360254519396e-12,1.57468223937921e-11,0.57240770993565,0.568182898979639
"FRic","GeomorphologySheltered Reef Slope",-4.08400878440522e-11,1.65397717447909e-11,-2.46920504552395,0.0150374392308718
"FRic","GeomorphologyTerrestrial Reef Flat",-4.74794747088469e-11,1.91652719862049e-11,-2.47737025297749,0.0147154151540918
"FRic","sedimnt",-3.48613557614757e-11,1.44068277413322e-11,-2.41978014781566,0.0171243880778921
"FRic","nutrint",2.87225898123232e-11,1.50471502159309e-11,1.90883917553462,0.0588193958594323
"FRic","LocationKuata",2.35487998915959e-11,1.17610092965802e-11,2.00227712586226,0.0476499237621324
"FRic","LocationTotoya",-1.59877506109694e-11,1.3980962197022e-11,-1.14353721765837,0.255232403939211
"FRic","LocationVanuaLevu",1.46396703335417e-11,1.59480964861474e-11,0.917957221180455,0.360596421146818
"FRic","LocationYasawa",3.0324638378795e-11,9.29022117968695e-12,3.26414600818114,0.00145304711529155
"FEve","(Intercept)",0.695221572433849,0.0131469185063021,52.8809524528951,1.50303362721463e-81
"FEve","GeomorphologyDeep Lagoon",-0.0375199781471935,0.0388899818436614,-0.964772323577437,0.336719031810025
"FEve","GeomorphologyInner Reef Flat",-0.0375639528419553,0.0189375850833131,-1.98356615570033,0.0497293882856932
"FEve","GeomorphologyOuter Reef Flat",0.00348915541567149,0.0364673081939227,0.0956789954749924,0.923944995968007
"FEve","GeomorphologySheltered Reef Slope",0.013994147346742,0.0383036614366217,0.365347510443541,0.715534980016381
"FEve","GeomorphologyTerrestrial Reef Flat",0.0671068307211765,0.0443839310981762,1.51196230394144,0.133335112298844
"FEve","sedimnt",0.0285867911643383,0.0333640790631536,0.85681343429943,0.393361415189319
"FEve","nutrint",-0.0268064922844978,0.0348469710676949,-0.769263194566398,0.443342056954603
"FEve","LocationKuata",-0.0359836485278439,0.0272367554522659,-1.32114298969668,0.189122680663018
"FEve","LocationTotoya",-0.0314056477847075,0.0323778375431086,-0.969973604410526,0.334131255176445
"FEve","LocationVanuaLevu",-0.05732030958335,0.0369334291784501,-1.55198991424266,0.123460946640046
"FEve","LocationYasawa",-0.0413580550632707,0.0215147761546427,-1.92230933596518,0.0570844753928954
