"Fishing_Ground","n_transects","fric_mean","fric_sd","fric_median","fric_min","fric_max","fric_cv","fdiv_mean","fdiv_sd","fdiv_median","fdiv_min","fdiv_max","fdiv_cv","fspe_mean","fspe_sd","fspe_median","fspe_min","fspe_max","fspe_cv","fori_mean","fori_sd","fori_median","fori_min","fori_max","fori_cv","feve_mean","feve_sd","feve_median","feve_min","feve_max","feve_cv","fdis_mean","fdis_sd","fdis_median","fdis_min","fdis_max","fdis_cv"
"Kadavu",14,0.0779360747142857,0.0400340207914407,0.0818151175,0.009392036,0.141009772,0.513677663882942,0.879340416285714,0.0610649861212222,0.882698263,0.760129509,0.960694506,0.0694440798924691,0.4035869545,0.0925747972925113,0.3821771355,0.334568449,0.710966238,0.229380053691778,0.0466962550714286,0.0136670790735606,0.0447174025,0.023810292,0.069082198,0.29268040986702,0.453058714285714,0.0911956353454809,0.4402445,0.33713,0.571824,0.201288778849025,0.436346445928571,0.0937022961818556,0.4399596915,0.2910331,0.649985876,0.214742888491853
"Kadavu_Ono",22,0.0780443076363636,0.0397562025899885,0.086736254,0.009912281,0.153580559,0.509405538905244,0.829093082136364,0.0725442526134819,0.842302815,0.692713417,0.954732803,0.0874983209684414,0.396584407409091,0.0571618157920465,0.3750026135,0.333898605,0.559146267,0.144135308207118,0.0413494671818182,0.0153459778075256,0.038670978,0.015915685,0.089611667,0.371128792060309,0.376450272727273,0.10095920853832,0.380084,0.09353,0.511094,0.26818736989324,0.383129358363636,0.139798666203941,0.375678305,0.195850877,0.708852012,0.3648863318672
"Muaira",20,0.1134942198,0.103282410458811,0.082559855,0.024331355,0.351568949,0.91002352931115,0.8952906507,0.0657805516787972,0.899119494,0.743373193,0.987017422,0.0734739624806373,0.48458588945,0.142754361585825,0.4335457445,0.325571835,0.846251765,0.29459042182976,0.1110163541,0.116316377775268,0.0604735745,0.03161566,0.417441666,1.0477409271655,0.44347665,0.0758474340316589,0.451804,0.323244,0.588445,0.171029148956679,0.4863670885,0.11671917512162,0.456344201,0.336934519,0.67882411,0.239981647363502
"Namara",18,0.0552027137222222,0.058190923396048,0.0266296285,0.014137467,0.195587405,1.05413157202492,0.836964624444444,0.0665824058841275,0.8446095965,0.680158484,0.923478678,0.0795522342755205,0.404689184333333,0.0873007485295125,0.364720604,0.333041382,0.665937521,0.215722959518495,0.0521459751666667,0.0460098156586015,0.0386107205,0.015315065,0.212314462,0.882327265173333,0.424133166666667,0.10052816126969,0.41854,0.250029,0.602127,0.237020278465269,0.440575026055556,0.123693366021239,0.4019172345,0.253180279,0.749931932,0.280754374864728
"Savusavu",20,0.09045614815,0.0817558043793083,0.0579478465,0.026416936,0.316991458,0.903816999190987,0.78281058585,0.0882215466573139,0.7878750765,0.623028404,0.936441168,0.112698458927354,0.4179961743,0.0905096006255955,0.3960908195,0.319464171,0.725135432,0.21653212682429,0.0710056457,0.0288073657829638,0.0662140785,0.032287656,0.156187047,0.405705285811714,0.4253684,0.0864064332335699,0.4090205,0.216121,0.610538,0.203133174052351,0.46530894515,0.10154067596462,0.465246019,0.302863805,0.632912014,0.218222058748273
