"Location","n_transects","FRic_mean","FRic_sd","FRic_median","FRic_min","FRic_max","FRic_cv","FEve_mean","FEve_sd","FEve_median","FEve_min","FEve_max","FEve_cv","FDiv_mean","FDiv_sd","FDiv_median","FDiv_min","FDiv_max","FDiv_cv","FDis_mean","FDis_sd","FDis_median","FDis_min","FDis_max","FDis_cv","RaoQ_mean","RaoQ_sd","RaoQ_median","RaoQ_min","RaoQ_max","RaoQ_cv"
"Kadavu",53,9.1487511695283e-13,2.77181403722548e-12,3.06e-14,1.53e-20,1.59e-11,3.02971846743143,0.691893033528302,0.0525308335451437,0.693077301,0.58273838,0.836158999,0.0759233450830734,0.918792361132076,0.0331326808754188,0.918594401,0.80866587,0.980957346,0.036061119222405,0.172311318396226,0.0407012900586107,0.176643483,0.028708267,0.252595553,0.236207873269352,0.0369361843584906,0.0122023903343482,0.036905844,0.004724888,0.068960844,0.330364127921708
"Kuata",18,4.94726966666667e-13,1.34129167292857e-12,3.105e-15,3.3e-17,5.7e-12,2.71117558431436,0.684612270888889,0.0665061481849355,0.6806331055,0.53042349,0.791175968,0.0971442537811732,0.878649491055556,0.0547107046925096,0.8879163075,0.777468038,0.965642245,0.0622668142979102,0.1786208785,0.0363888931500004,0.174432681,0.123613227,0.270805568,0.203721387194949,0.0393369322777778,0.0144845733658346,0.0378317195,0.021750073,0.085199584,0.368218173790264
"Totoya",9,6.83543877777778e-13,8.01105572626111e-13,5.01e-13,4.39e-17,2.12e-12,1.17198851261828,0.671216527888889,0.0415161092984188,0.666701362,0.617833292,0.757980505,0.0618520366728681,0.909108261222222,0.0316956636923184,0.907376992,0.839407989,0.949771403,0.034864564589597,0.179402901666667,0.0373368835675917,0.192792043,0.122084406,0.222400036,0.208117501003212,0.038546895,0.0117788887324875,0.04053244,0.022297714,0.052262892,0.305572958145852
"VanuaLevu",20,2.763678161e-12,5.23855761427273e-12,4.16e-13,3.22e-18,1.82e-11,1.89550204803052,0.64345581855,0.0589244836482711,0.637703463,0.509863216,0.748397449,0.0915750265201655,0.92056398075,0.0319946969121374,0.93139779,0.836772713,0.957261514,0.0347555385407006,0.17225875445,0.0377558649785348,0.185191534,0.099335721,0.226140178,0.219181109831453,0.0382640713,0.0110787153090762,0.038757688,0.019363269,0.062118353,0.289533103318155
"Yasawa",25,2.2946958724e-11,5.61712605378254e-11,5.15e-13,1.61e-17,2.57e-10,2.44787386483057,0.66500984352,0.0509406851852412,0.672824275,0.565470467,0.750452881,0.0766014002373322,0.91650978504,0.0461432777554518,0.924436605,0.766591613,0.97848574,0.0503467377093393,0.150148282,0.0443651453839787,0.166188323,0.060245562,0.230021921,0.295475544528566,0.03347149192,0.0119746907717005,0.032322724,0.015414586,0.064728961,0.357757903362094
