"Response","LM_AIC","LMM_AIC","Delta_AIC","LM_BIC","LMM_BIC","Delta_BIC","Singular_LMM","Preferred"
"biomass_kg_ha",1822.71121899837,1821.57997176883,-1.1312472295383,1856.650983846,1858.34805035376,1.69706650776402,FALSE,"Tie"
"abundance_ind_250m2",1576.15274431257,1537.51816418883,-38.6345801237392,1610.0925091602,1574.28624277376,-35.8062663864368,FALSE,"LMM"
"FRic",-5749.21275045705,-5756.58438594627,-7.3716354892149,-5715.27298560942,-5719.81630736134,-4.54332175191303,FALSE,"LMM"
"FEve",-375.306585739612,-373.36001061927,1.94657512034183,-341.366820891984,-336.59193203434,4.77488885764416,FALSE,"Tie"
"FDiv",-440.168001411119,-438.212000372852,1.95600103826644,-406.228236563491,-401.443921787922,4.78431477556876,FALSE,"Tie"
"FDis",-439.467235563942,-439.941450907289,-0.47421534334751,-405.527470716314,-403.173372322359,2.35409839395481,FALSE,"Tie"
"RaoQ",-737.833829569304,-736.010340769891,1.82348879941321,-703.894064721676,-699.242262184961,4.65180253671542,FALSE,"Tie"
