"Response","Test","Statistic","df","p_value","Effect_Size","n_groups","total_n"
"fric","Kruskal-Wallis",9.57481624758225,4,0.0482324340104352,0.0626383848042949,5,94
"fdiv","Kruskal-Wallis",20.4211956390009,4,0.000412308684588563,0.184507816168549,5,94
"fspe","Kruskal-Wallis",5.93387550113198,4,0.204141213622825,0.0217289382149661,5,94
"fori","Kruskal-Wallis",23.6394074160256,4,9.43291431871167e-05,0.220667499056467,5,94
"feve","Kruskal-Wallis",5.61132764212272,4,0.230115623670775,0.018104804967671,5,94
"fdis","Kruskal-Wallis",8.24023259308814,4,0.083164130860249,0.0476430628436869,5,94
