"term","estimate","robust.se","t.value","p.value"
"(Intercept)",0.441506034776596,0.0120742262171332,36.565989972103,3.47800615290711e-54
"sedimnt",0.0112418406067297,0.0225760412778261,0.497954467232982,0.619787119518352
"NO_TK_AREA",0.0117770733478157,0.013852989616803,0.850146695665655,0.397604190380064
"grav_NC",-0.0177674837168951,0.0294802151943436,-0.602691791758162,0.548299735694714
"Median_Depth",0.0111600863730881,0.0129505589552928,0.861745536359802,0.391224027259669
"resid15LR",0.000890568432918949,0.0257627623556111,0.0345680490556939,0.972504287132582
"resid15BRIF",-0.0208040359618156,0.0148573546809607,-1.40025168736636,0.165035446583796
"transi15LR",-0.0524398593420773,0.0101446560768585,-5.16921016787358,1.50871979958573e-06
