"term","estimate","std.error","statistic","p.value","Response","Predictor"
"(Intercept)",0.42165985106383,0.0095902928029696,43.9673594671963,1.46609295308285e-63,"feve","nutrint"
"nutrint",0.0140690925042775,0.00964171565310679,1.45918973453071,0.147918890550476,"feve","nutrint"
"(Intercept)",0.42165985106383,0.00927565211122065,45.4587824131257,7.78674933116613e-65,"feve","crypto5LR"
"crypto5LR",-0.0273847215454834,0.00932538786780699,-2.93657721627007,0.00419229021161775,"feve","crypto5LR"
"(Intercept)",0.42165985106383,0.00954541071841541,44.1740919801749,9.70781120230317e-64,"feve","pare5BRin"
"pare5BRin",0.0166674294192528,0.00959659291221862,1.73680696594219,0.0857683028461092,"feve","pare5BRin"
"(Intercept)",0.42165985106383,0.00969550322034013,43.4902491888438,3.82210843314022e-63,"feve","Rnetflow"
"Rnetflow",0.00304269345545944,0.00974749020544551,0.312151476054791,0.75563178186542,"feve","Rnetflow"
"(Intercept)",0.42165985106383,0.00968993587137593,43.5152364949507,3.63417669182531e-63,"feve","Cnetflow"
"Cnetflow",0.00439248162997412,0.00974189300453025,0.450885841995133,0.653132740209342,"feve","Cnetflow"
"(Intercept)",0.42165985106383,0.00969596887222209,43.4881605562741,3.83825513157022e-63,"feve","transi15BRIF"
"transi15BRIF",0.00290143425534823,0.0097479583541383,0.297645327353751,0.766644963481527,"feve","transi15BRIF"
"(Intercept)",0.42165985106383,0.0096458958846792,43.7139127464108,2.43616536219247e-63,"feve","sst_sd_6_year_mean"
"sst_sd_6_year_mean",-0.00992365191539982,0.00969761687680191,-1.02330830774916,0.308845347409683,"feve","sst_sd_6_year_mean"
"(Intercept)",0.42165985106383,0.00964719891401879,43.7080083889528,2.46523593205442e-63,"feve","sst_q90_6_year_mean"
"sst_q90_6_year_mean",0.00980516022701698,0.00969892689294406,1.01095310184781,0.314690351809878,"feve","sst_q90_6_year_mean"
"(Intercept)",0.42165985106383,0.00964597425838697,43.7135575701133,2.43790426920295e-63,"feve","sst_mean_6_year_mean"
"sst_mean_6_year_mean",0.00991656542782194,0.00969769567074705,1.02256925402754,0.309192914682599,"feve","sst_mean_6_year_mean"
