"","Filename","Frame","Time..mins.","Period","Period.time..mins.","Length..mm.","Precision..mm.","RMS..mm.","Range..mm.","Direction..deg.","Horz..Dir...deg.","Vert..Dir...deg.","Mid.X..mm.","Mid.Y..mm.","Mid.Z..mm.","OpCode","TapeReader","Family","Genus","Species","Code","Number","Stage","Activity","Comment","Species_full","Length_filled","length_source","Length_cm","a_final","b_final","param_source","biomass"
"16","GX010039_L.MP4",10379,5.7719,"KAD_BIRD_Transect 1",0.6912,NA,2.949,4.793,2164.034,20.714,NA,NA,-544.929,-538.708,-2023.83,"KAD_BIRD_1","Peter","Pomacentridae","Dascyllus","aruanus","37372073",1,"AD","Passing","","Dascyllus aruanus",45.9495,"transect",4.59495,0.04150671,2.988875406,"fishbase",3.95906904419697
"17","GX010039_L.MP4",10379,5.7719,"KAD_BIRD_Transect 1",0.6912,NA,3.075,5.97,2216.214,20.53,NA,NA,-578.648,-520.101,-2075.155,"KAD_BIRD_1","Peter","Pomacentridae","Dascyllus","aruanus","37372073",1,"AD","Passing","","Dascyllus aruanus",45.9495,"transect",4.59495,0.04150671,2.988875406,"fishbase",3.95906904419697
"18","GX010039_L.MP4",10379,5.7719,"KAD_BIRD_Transect 1",0.6912,NA,3.328,4.22,2306.873,19.331,NA,NA,-583.763,-493.551,-2176.531,"KAD_BIRD_1","Peter","Pomacentridae","Dascyllus","aruanus","37372073",1,"AD","Passing","","Dascyllus aruanus",45.9495,"transect",4.59495,0.04150671,2.988875406,"fishbase",3.95906904419697
"19","GX010039_L.MP4",10379,5.7719,"KAD_BIRD_Transect 1",0.6912,NA,3.388,2.868,2343.332,19.861,NA,NA,-655.867,-452.546,-2203.688,"KAD_BIRD_1","Peter","Pomacentridae","Dascyllus","aruanus","37372073",1,"AD","Passing","","Dascyllus aruanus",45.9495,"transect",4.59495,0.04150671,2.988875406,"fishbase",3.95906904419697
"20","GX010039_L.MP4",10379,5.7719,"KAD_BIRD_Transect 1",0.6912,NA,3.077,6.188,2227.808,21.17,NA,NA,-628.73,-503.187,-2077.169,"KAD_BIRD_1","Peter","Pomacentridae","Dascyllus","aruanus","37372073",1,"AD","Passing","","Dascyllus aruanus",45.9495,"transect",4.59495,0.04150671,2.988875406,"fishbase",3.95906904419697
"21","GX010039_L.MP4",10379,5.7719,"KAD_BIRD_Transect 1",0.6912,NA,3.413,5.354,2358.908,20.848,NA,NA,-677.209,-497.45,-2204.173,"KAD_BIRD_1","Peter","Pomacentridae","Dascyllus","aruanus","37372073",1,"AD","Passing","","Dascyllus aruanus",45.9495,"transect",4.59495,0.04150671,2.988875406,"fishbase",3.95906904419697
"22","GX010039_L.MP4",10379,5.7719,"KAD_BIRD_Transect 1",0.6912,NA,3.609,0.599,2417.309,19.674,NA,NA,-641.167,-502.538,-2275.905,"KAD_BIRD_1","Peter","Pomacentridae","Dascyllus","aruanus","37372073",1,"AD","Passing","","Dascyllus aruanus",45.9495,"transect",4.59495,0.04150671,2.988875406,"fishbase",3.95906904419697
"23","GX010039_L.MP4",10379,5.7719,"KAD_BIRD_Transect 1",0.6912,NA,2.885,11.801,2189.318,24.746,NA,NA,-725.468,-561.114,-1987.954,"KAD_BIRD_1","Peter","Pomacentridae","Dascyllus","aruanus","37372073",1,"AD","Passing","","Dascyllus aruanus",45.9495,"transect",4.59495,0.04150671,2.988875406,"fishbase",3.95906904419697
"24","GX010039_L.MP4",10387,5.7763,"KAD_BIRD_Transect 1",0.6957,54.29,4.42,6.039,1998.479,17.303,43.925,32.454,321.529,-499.916,-1908.041,"KAD_BIRD_1","Peter","Pomacentridae","Dascyllus","aruanus","37372073",1,"AD","Passing","","Dascyllus aruanus",54.29,"measured",5.429,0.04150671,2.988875406,"fishbase",6.5178502132915
"25","GX010039_L.MP4",10485,5.8308,"KAD_BIRD_Transect 1",0.7502,132.898,8.775,18.406,2573.559,26.66,73.453,7.692,-780.619,-850.932,-2299.947,"KAD_BIRD_1","Peter","Pomacanthidae","Centropyge","bicolor","37365022",1,"AD","Passing","","Centropyge bicolor",132.898,"measured",13.2898,0.761718227,2.014831567,"fishbase",139.796010417208
"26","GX010039_L.MP4",10487,5.8319,"KAD_BIRD_Transect 1",0.7513,101.121,6.765,14.149,2225.217,22.152,59.903,6.168,-452.555,-706.551,-2060.964,"KAD_BIRD_1","Peter","Mullidae","Parupeneus","multifasciatus","37355026",1,"AD","Passing","","Parupeneus multifasciatus",101.121,"measured",10.1121,0.01135854,3.210819176,"fishbase",19.1287418261913
"27","GX010039_L.MP4",10501,5.8397,"KAD_BIRD_Transect 1",0.7591,88.403,6.416,10.575,3165.806,17.117,19.741,31.763,-518.599,-774.104,-3025.582,"KAD_BIRD_1","Peter","Scaridae","Chlorurus","spilurus","temp_code_002",1,"AD","Passing","","Chlorurus spilurus",88.403,"measured",8.8403,0.01413,3.05,"fishbase",10.8859546763907
"28","GX010039_L.MP4",10669,5.9331,"KAD_BIRD_Transect 1",0.8525,95.058,6.707,18.469,2228.1,26,73.508,3.422,-715.109,-665.284,-2002.61,"KAD_BIRD_1","Peter","Mullidae","Parupeneus","barberinoides","37355021",1,"AD","Passing","","Parupeneus barberinoides",95.058,"measured",9.5058,0.012458031,3.109959922,"fishbase",13.7073967460043
"29","GX010039_L.MP4",10696,5.9482,"KAD_BIRD_Transect 1",0.8675,NA,3.901,1.219,2489.271,19.108,NA,NA,-266.765,-771.326,-2351.673,"KAD_BIRD_1","Peter","Mullidae","Parupeneus","multifasciatus","37355026",1,"AD","Passing","","Parupeneus multifasciatus",91.18,"transect",9.118,0.01135854,3.210819176,"fishbase",13.7210237330161
"30","GX010039_L.MP4",10732,5.9682,"KAD_BIRD_Transect 1",0.8876,89.677,3.759,10.984,2855.943,21.091,6.313,3.311,-561.264,-860.93,-2664.619,"KAD_BIRD_1","Peter","Pomacanthidae","Centropyge","bicolor","37365022",1,"AD","Passing","","Centropyge bicolor",89.677,"measured",8.9677,0.761718227,2.014831567,"fishbase",63.2828811300753
"31","GX010039_L.MP4",10880,6.0505,"KAD_BIRD_Transect 1",0.9699,NA,9.003,2.146,3849.947,14.464,NA,NA,-331.162,-904.996,-3727.386,"KAD_BIRD_1","Peter","Mullidae","Parupeneus","multifasciatus","37355026",1,"AD","Passing","","Parupeneus multifasciatus",91.18,"transect",9.118,0.01135854,3.210819176,"fishbase",13.7210237330161
"32","GX010039_L.MP4",10880,6.0505,"KAD_BIRD_Transect 1",0.9699,NA,4.399,0.444,2644.129,17.061,NA,NA,-217.863,-746.01,-2527.335,"KAD_BIRD_1","Peter","Mullidae","Parupeneus","multifasciatus","37355026",1,"AD","Passing","","Parupeneus multifasciatus",91.18,"transect",9.118,0.01135854,3.210819176,"fishbase",13.7210237330161
"33","GX010039_L.MP4",11010,6.1228,"KAD_BIRD_Transect 1",1.0422,NA,1.968,0.153,1782.205,26.175,NA,NA,761.186,-197.46,-1599.331,"KAD_BIRD_1","Peter","Acanthuridae","Ctenochaetus","striatus","37437022",1,"AD","Passing","","Ctenochaetus striatus",88.175,"site",8.8175,0.02313218,3.063472078,"fishbase",18.2077385821858
"34","GX010039_L.MP4",11136,6.1929,"KAD_BIRD_Transect 1",1.1122,NA,1.886,13.369,1739.684,26.816,NA,NA,-603.16,-503.057,-1552.299,"KAD_BIRD_1","Peter","Pomacentridae","Pomacentrus","maafu","temp_code_005",1,"AD","Passing","","Pomacentrus maafu",52.358,"transect",5.2358,0.0262952381868487,3.00621166069386,"genus",3.81322414388468
